# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.000000000000000000e+00,7.179130652486270803e-01,1.000000000000000000e+00,1.033226816029978901e+00,9.790822002970939186e-01,9.250752664344767950e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.750577645029622209e-01,9.169432325197690581e-01,9.283938809740243103e-01,7.796569898276458632e-01,9.413824841324884840e-01,9.751355938248119637e-01,4.127020920401511805e-01,9.726977968242842554e-01,1.134545550024813165e+00
1.000000000000000000e+00,0.000000000000000000e+00,8.563521262096454034e-01,9.822789565453200478e-01,1.101903914203003376e+00,8.965203466701243684e-01,9.876760019581324324e-01,2.781979742674570710e-01,8.993110284928302889e-01,9.446824377898135339e-01,9.179589384156657816e-01,1.020220095691196871e+00,8.785110649881582301e-01,9.528266831620798571e-01,9.727471506276299529e-01,9.611943867683887532e-01,9.013440847511297038e-01,1.244963810015847328e+00
7.179130652486270803e-01,8.563521262096454034e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.049308382331308964e+00,9.457558975521719313e-01,1.000000000000000000e+00,8.454437389156538307e-01,1.000000000000000000e+00,9.493997163252559934e-01,7.824615844425820699e-01,8.656874948945675330e-01,6.681470274431331458e-01,4.093066506981543062e-01,7.704906646962756955e-01,6.097019248768867916e-01,8.815015362184156489e-01,1.134030149890780770e+00
1.000000000000000000e+00,9.822789565453200478e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.037886271663849058e+00,9.227477108972215181e-01,1.000000000000000000e+00,9.584639442430420431e-01,9.657470361226755395e-01,1.039775727600610766e+00,9.071644697580009131e-01,1.116897045225046625e+00,1.000000000000000000e+00,8.540474087770446587e-01,9.762807526767354194e-01,9.587724440315443797e-01,8.023639267120649121e-01,1.276482420824150532e+00
1.033226816029978901e+00,1.101903914203003376e+00,1.049308382331308964e+00,1.037886271663849058e+00,5.951393640897234549e-01,1.090518922904639254e+00,1.095752934782826982e+00,1.088565537408320960e+00,1.142554411682599635e+00,1.062198635145208625e+00,1.037696477002969297e+00,1.024102171350647961e+00,1.006708957541418092e+00,1.117910517342646459e+00,1.095922620843392314e+00,1.030369471489798405e+00,1.115902776821877218e+00,1.182528337789503281e+00
9.790822002970939186e-01,8.965203466701243684e-01,9.457558975521719313e-01,9.227477108972215181e-01,1.090518922904639254e+00,0.000000000000000000e+00,9.529325185617507632e-01,8.712473768284241249e-01,8.522375902418989346e-01,1.040925131885891863e+00,1.000000000000000000e+00,1.157118397728829073e+00,9.773108468962898865e-01,1.000000000000000000e+00,9.684571391067056112e-01,9.074800086101713070e-01,9.295532770337322503e-01,1.336562031530100558e+00
9.250752664344767950e-01,9.876760019581324324e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.095752934782826982e+00,9.529325185617507632e-01,0.000000000000000000e+00,9.792582034798299473e-01,9.727309205085860055e-01,9.043569025348706658e-01,9.047932234304134624e-01,1.029613008309280708e+00,9.118849406672312474e-01,9.953283647793537137e-01,9.717185193559253475e-01,1.000000000000000000e+00,9.959422015192447297e-01,1.178799417732247612e+00
1.000000000000000000e+00,2.781979742674570710e-01,8.454437389156538307e-01,9.584639442430420431e-01,1.088565537408320960e+00,8.712473768284241249e-01,9.792582034798299473e-01,0.000000000000000000e+00,9.772681931148821111e-01,9.188895662628236982e-01,9.404908216354131989e-01,1.005744486086705081e+00,8.779430261664451507e-01,9.675891764933007844e-01,9.806990596371594204e-01,5.956831947356898693e-01,8.975074153762054863e-01,1.163124463367992689e+00
1.000000000000000000e+00,8.993110284928302889e-01,1.000000000000000000e+00,9.657470361226755395e-01,1.142554411682599635e+00,8.522375902418989346e-01,9.727309205085860055e-01,9.772681931148821111e-01,3.330669073875469621e-16,1.085770763406346706e+00,1.000000000000000000e+00,1.103926477725761579e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.870701292556087747e-01,1.000000000000000000e+00,1.179110214045483662e+00
9.750577645029622209e-01,9.446824377898135339e-01,9.493997163252559934e-01,1.039775727600610766e+00,1.062198635145208625e+00,1.040925131885891863e+00,9.043569025348706658e-01,9.188895662628236982e-01,1.085770763406346706e+00,6.728975251714790495e-01,8.154712540117126096e-01,1.059307814828502448e+00,9.519319861819459661e-01,9.337894079325791408e-01,1.024745399681072699e+00,9.653004032699157300e-01,1.012465389749430900e+00,1.139155279605042370e+00
9.169432325197690581e-01,9.179589384156657816e-01,7.824615844425820699e-01,9.071644697580009131e-01,1.037696477002969297e+00,1.000000000000000000e+00,9.047932234304134624e-01,9.404908216354131989e-01,1.000000000000000000e+00,8.154712540117126096e-01,0.000000000000000000e+00,1.032226378551363677e+00,9.574495660970454569e-01,7.731055400469770689e-01,8.654526219669473885e-01,9.514643351996625587e-01,1.000000000000000000e+00,1.195877961359001151e+00
9.283938809740243103e-01,1.020220095691196871e+00,8.656874948945675330e-01,1.116897045225046625e+00,1.024102171350647739e+00,1.157118397728829073e+00,1.029613008309280708e+00,1.005744486086705081e+00,1.103926477725761579e+00,1.059307814828502448e+00,1.032226378551363677e+00,6.063721575207898784e-01,7.410996987346887277e-01,9.790616915459444680e-01,1.064160617754058125e+00,8.633497208905113185e-01,1.070750313704551981e+00,1.051935964987047445e+00
7.796569898276458632e-01,8.785110649881582301e-01,6.681470274431331458e-01,1.000000000000000000e+00,1.006708957541418092e+00,9.773108468962898865e-01,9.118849406672312474e-01,8.779430261664451507e-01,1.000000000000000000e+00,9.519319861819459661e-01,9.574495660970454569e-01,7.410996987346887277e-01,1.110223024625156540e-16,8.632223239959776473e-01,8.994781548778971736e-01,7.126452125796792769e-01,8.739902690872013435e-01,1.207444617866834768e+00
9.413824841324884840e-01,9.528266831620798571e-01,4.093066506981543062e-01,8.540474087770446587e-01,1.117910517342646459e+00,1.000000000000000000e+00,9.953283647793537137e-01,9.675891764933007844e-01,1.000000000000000000e+00,9.337894079325791408e-01,7.731055400469770689e-01,9.790616915459444680e-01,8.632223239959776473e-01,-2.220446049250313081e-16,8.746893930279541207e-01,8.520415350891199502e-01,8.880752242608956903e-01,1.222119606456315344e+00
9.751355938248119637e-01,9.727471506276299529e-01,7.704906646962756955e-01,9.762807526767354194e-01,1.095922620843392314e+00,9.684571391067056112e-01,9.717185193559253475e-01,9.806990596371594204e-01,1.000000000000000000e+00,1.024745399681072699e+00,8.654526219669473885e-01,1.064160617754058125e+00,8.994781548778971736e-01,8.746893930279541207e-01,1.110223024625156540e-16,9.696709269818838406e-01,9.059764003730168547e-01,1.315011987423269080e+00
4.127020920401511805e-01,9.611943867683887532e-01,6.097019248768867916e-01,9.587724440315443797e-01,1.030369471489798405e+00,9.074800086101713070e-01,1.000000000000000000e+00,5.956831947356898693e-01,9.870701292556087747e-01,9.653004032699157300e-01,9.514643351996625587e-01,8.633497208905113185e-01,7.126452125796792769e-01,8.520415350891199502e-01,9.696709269818838406e-01,0.000000000000000000e+00,9.367416689838955479e-01,1.068207555525940045e+00
9.726977968242842554e-01,9.013440847511297038e-01,8.815015362184156489e-01,8.023639267120649121e-01,1.115902776821877218e+00,9.295532770337322503e-01,9.959422015192447297e-01,8.975074153762054863e-01,1.000000000000000000e+00,1.012465389749430900e+00,1.000000000000000000e+00,1.070750313704551981e+00,8.739902690872013435e-01,8.880752242608956903e-01,9.059764003730168547e-01,9.367416689838955479e-01,2.220446049250313081e-16,1.262131508192902096e+00
1.134545550024813165e+00,1.244963810015847328e+00,1.134030149890780770e+00,1.276482420824150532e+00,1.182528337789502837e+00,1.336562031530100558e+00,1.178799417732247612e+00,1.163124463367992689e+00,1.179110214045483662e+00,1.139155279605042370e+00,1.195877961359001151e+00,1.051935964987047667e+00,1.207444617866834768e+00,1.222119606456315344e+00,1.315011987423269080e+00,1.068207555525940045e+00,1.262131508192902096e+00,5.397707283566752778e-01
