# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,8.606438982650312930e-01,9.020356032196411578e-01,1.000000000000000000e+00,9.494354873557706576e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.743116097960118349e-01,1.201002869789008720e+00,8.817790311758474386e-01,5.751957363123586520e-01,1.000000000000000000e+00,8.671327932044053943e-01,1.000000000000000000e+00,9.996963529670598314e-01,9.014646098043307409e-01,9.452114969366147701e-01
8.606438982650312930e-01,0.000000000000000000e+00,8.680630745052806407e-01,9.325004499069949881e-01,8.873516339225805405e-01,9.838748335087181829e-01,8.906209977264423205e-01,9.772415398981108003e-01,1.000000000000000000e+00,7.777865727591311007e-01,9.650166118319989383e-01,9.302842195252634117e-01,9.250235631547161219e-01,9.895157055187465689e-01,1.000000000000000000e+00,9.998640858222265226e-01,9.005024734274869047e-01,8.990405709551243518e-01
9.020356032196411578e-01,8.680630745052806407e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.440147250463232220e-01,9.732695614471370549e-01,9.173527045742499997e-01,8.845260235844044638e-01,9.965931198279539549e-01,1.160777385071164680e+00,9.964599008641453759e-01,8.178073653072893689e-01,8.929106334717704652e-01,9.920144694911606775e-01,9.530793890927106160e-01,8.755251121764296984e-01,9.070932194330582066e-01,7.761255118777105055e-01
1.000000000000000000e+00,9.325004499069949881e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.606317795804700799e-01,9.787030322822821704e-01,1.000000000000000000e+00,9.447594352443143828e-01,8.166616502496932828e-01,1.227673171797860840e+00,9.792292369041046829e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.697061777631116319e-01,9.657848155162453985e-01,9.213043078357456839e-01,7.937263567360262062e-01,9.974177555452228283e-01
9.494354873557706576e-01,8.873516339225805405e-01,9.440147250463232220e-01,9.606317795804700799e-01,0.000000000000000000e+00,9.183402448351341008e-01,8.249311313326828099e-01,7.659081634880314793e-01,8.918201816590418662e-01,1.256561028321246498e+00,9.999205398775642406e-01,9.124666661884135443e-01,8.695816890041832004e-01,8.657368903426106987e-01,1.000000000000000000e+00,8.382716421921473371e-01,9.165936736141269137e-01,9.298590159096236096e-01
1.000000000000000000e+00,9.838748335087181829e-01,9.732695614471370549e-01,9.787030322822821704e-01,9.183402448351341008e-01,0.000000000000000000e+00,8.648267840805774487e-01,1.000000000000000000e+00,8.289199613164767166e-01,1.238291154526328652e+00,8.769680473205251348e-01,9.258510712311379676e-01,9.113405881494033300e-01,5.339120039265046191e-01,8.824048054521425044e-01,9.145239031157916809e-01,7.750071064576624646e-01,9.434913339442470015e-01
1.000000000000000000e+00,8.906209977264423205e-01,9.173527045742499997e-01,1.000000000000000000e+00,8.249311313326828099e-01,8.648267840805774487e-01,0.000000000000000000e+00,5.282673822142532893e-01,9.798471849055835348e-01,1.105619073169808786e+00,9.410076985253656989e-01,7.505597778591889258e-01,9.434546024609596904e-01,8.344947332363610304e-01,9.401097288741746549e-01,9.496078781073251651e-01,8.988193120249686752e-01,9.343793673331519667e-01
1.000000000000000000e+00,9.772415398981108003e-01,8.845260235844044638e-01,9.447594352443143828e-01,7.659081634880314793e-01,1.000000000000000000e+00,5.282673822142532893e-01,0.000000000000000000e+00,9.172335705574159448e-01,1.277821852544812176e+00,8.968546426608619004e-01,9.171210175894424221e-01,7.958889761976779553e-01,8.276782587720616924e-01,9.667815475475530773e-01,9.021508315366879582e-01,8.998849223603583303e-01,9.660697504908415389e-01
9.743116097960118349e-01,1.000000000000000000e+00,9.965931198279539549e-01,8.166616502496932828e-01,8.918201816590418662e-01,8.289199613164767166e-01,9.798471849055835348e-01,9.172335705574159448e-01,-2.220446049250313081e-16,1.286189676103971724e+00,9.873141963520091213e-01,7.834200084047203694e-01,8.140359593585440035e-01,9.864025259004999269e-01,9.847258235627065481e-01,7.909173666280624460e-01,1.000000000000000000e+00,8.070763261327743576e-01
1.201002869789008720e+00,7.777865727591311007e-01,1.160777385071164680e+00,1.227673171797860840e+00,1.256561028321246498e+00,1.238291154526328652e+00,1.105619073169808786e+00,1.277821852544812176e+00,1.286189676103971724e+00,2.220446049250313081e-16,1.162359818143960943e+00,1.236409524221423473e+00,1.323304680705016834e+00,1.125236881623128848e+00,1.174372620379088072e+00,1.288691557250003061e+00,9.635344235200694607e-01,1.273009142603323651e+00
8.817790311758474386e-01,9.650166118319989383e-01,9.964599008641453759e-01,9.792292369041046829e-01,9.999205398775642406e-01,8.769680473205251348e-01,9.410076985253656989e-01,8.968546426608619004e-01,9.873141963520091213e-01,1.162359818143960943e+00,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.672979547974330794e-01,9.913233477429699292e-01,9.955050523279160846e-01,9.856952817488280338e-01,9.528529162874652680e-01
5.751957363123586520e-01,9.302842195252634117e-01,8.178073653072893689e-01,1.000000000000000000e+00,9.124666661884135443e-01,9.258510712311379676e-01,7.505597778591889258e-01,9.171210175894424221e-01,7.834200084047203694e-01,1.236409524221423473e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.203626465889283459e-01,8.634551518001432058e-01,9.575457743724778981e-01,7.229864696385608358e-01,8.751907412814958764e-01,7.471302888489499416e-01
1.000000000000000000e+00,9.250235631547161219e-01,8.929106334717704652e-01,1.000000000000000000e+00,8.695816890041832004e-01,9.113405881494033300e-01,9.434546024609596904e-01,7.958889761976779553e-01,8.140359593585440035e-01,1.323304680705016834e+00,1.000000000000000000e+00,7.203626465889283459e-01,0.000000000000000000e+00,9.335586634279178231e-01,9.560253522057859943e-01,6.490105171400333273e-01,9.361260964152444686e-01,8.533713096591071245e-01
8.671327932044053943e-01,9.895157055187465689e-01,9.920144694911606775e-01,9.697061777631116319e-01,8.657368903426106987e-01,5.339120039265046191e-01,8.344947332363610304e-01,8.276782587720616924e-01,9.864025259004999269e-01,1.125236881623128848e+00,9.672979547974330794e-01,8.634551518001432058e-01,9.335586634279178231e-01,2.220446049250313081e-16,9.755136096491053843e-01,7.612536173440189735e-01,9.693420963134213864e-01,9.573596163458102382e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.530793890927106160e-01,9.657848155162453985e-01,1.000000000000000000e+00,8.824048054521425044e-01,9.401097288741746549e-01,9.667815475475530773e-01,9.847258235627065481e-01,1.174372620379088072e+00,9.913233477429699292e-01,9.575457743724778981e-01,9.560253522057859943e-01,9.755136096491053843e-01,0.000000000000000000e+00,9.745601620695694134e-01,9.344393033070264032e-01,9.798949184890144437e-01
9.996963529670598314e-01,9.998640858222265226e-01,8.755251121764296984e-01,9.213043078357456839e-01,8.382716421921473371e-01,9.145239031157916809e-01,9.496078781073251651e-01,9.021508315366879582e-01,7.909173666280624460e-01,1.288691557250003061e+00,9.955050523279160846e-01,7.229864696385608358e-01,6.490105171400333273e-01,7.612536173440189735e-01,9.745601620695694134e-01,1.110223024625156540e-16,9.810652319216247585e-01,8.209933099011067492e-01
9.014646098043307409e-01,9.005024734274869047e-01,9.070932194330582066e-01,7.937263567360262062e-01,9.165936736141269137e-01,7.750071064576624646e-01,8.988193120249686752e-01,8.998849223603583303e-01,1.000000000000000000e+00,9.635344235200694607e-01,9.856952817488280338e-01,8.751907412814958764e-01,9.361260964152444686e-01,9.693420963134213864e-01,9.344393033070264032e-01,9.810652319216247585e-01,-2.220446049250313081e-16,9.215858450143796787e-01
