# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.251169852530559901e-01,9.458110743951753108e-01,1.000000000000000000e+00,9.223749785911308230e-01,9.573627094074883548e-01,9.003018520562926508e-01,7.180756072758501807e-01,9.975179100591939907e-01,9.922113370483405248e-01,9.623234425124627123e-01,9.546889175312922582e-01,8.548701828219857912e-01,1.000000000000000000e+00,8.914141475917554125e-01,1.000000000000000000e+00,7.286558380567786930e-01,9.965038876743399499e-01,9.355186137990292305e-01
9.458110743951753108e-01,6.105152122731661857e-01,9.215557587042496612e-01,9.262699675181181869e-01,8.107025739221850325e-01,8.871703442891144542e-01,9.233523800997893716e-01,8.286634702938656671e-01,9.809110175983318802e-01,9.628324170671501703e-01,9.227539152511052833e-01,9.655299515963786661e-01,9.387768974348488227e-01,9.628292669383594626e-01,1.000000000000000000e+00,7.847240159132554682e-01,9.493007107152463542e-01,8.552430838351577913e-01
1.000000000000000000e+00,9.215557587042496612e-01,0.000000000000000000e+00,9.388136934737348893e-01,8.388039264057601807e-01,9.049327290761833842e-01,1.000000000000000000e+00,9.739276415197254400e-01,8.962633341034123013e-01,1.000000000000000000e+00,9.580746439717178209e-01,1.000000000000000000e+00,8.758877138899785475e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.282936134937928241e-01,8.920498367996063660e-01,9.049576506744690940e-01
9.223749785911308230e-01,9.262699675181181869e-01,9.388136934737348893e-01,-2.220446049250313081e-16,8.530368543712046892e-01,9.464239302735711901e-01,9.616229346530331679e-01,9.337178461304714849e-01,9.352695590719488639e-01,9.607525821300841873e-01,8.969472512768628114e-01,9.708221567079925451e-01,9.412722222848886044e-01,9.337775747270894433e-01,9.788547475358649885e-01,9.283315501424834748e-01,9.591990533438755628e-01,8.577708556485810210e-01
9.573627094074883548e-01,8.107025739221850325e-01,8.388039264057601807e-01,8.530368543712046892e-01,1.110223024625156540e-16,8.793940318904004405e-01,9.655286787514746338e-01,9.058732018045114742e-01,9.515007892688033264e-01,9.207258010849398433e-01,7.641950188568402691e-01,9.577358954680125214e-01,7.326828067463906358e-01,9.624086745422311129e-01,8.119565974189288937e-01,7.072340380854269526e-01,8.552158215271147279e-01,9.581699133437088234e-01
9.003018520562926508e-01,8.871703442891144542e-01,9.049327290761833842e-01,9.464239302735711901e-01,8.793940318904004405e-01,-4.440892098500626162e-16,8.951859198877413215e-01,1.000000000000000000e+00,9.261196495248584792e-01,9.232939876686576675e-01,1.000000000000000000e+00,9.669484461547159793e-01,8.757550347213722830e-01,9.864847746692168018e-01,9.560035377547648761e-01,8.319423246709195530e-01,9.297591467860946146e-01,9.280575349018135300e-01
7.180756072758501807e-01,9.233523800997893716e-01,1.000000000000000000e+00,9.616229346530331679e-01,9.655286787514746338e-01,8.951859198877413215e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.928252370158447970e-01,9.555668722279417882e-01,9.580359098135086127e-01,9.723252442934412487e-01,8.087982898947640997e-01,9.262654936591052657e-01,7.348935435328451948e-01,8.876047670804002587e-01,9.394017572421750062e-01,9.981331918450828677e-01
9.975179100591939907e-01,8.286634702938657782e-01,9.739276415197254400e-01,9.337178461304714849e-01,9.058732018045114742e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,9.834411046376121401e-01,9.381787083783660330e-01,9.751705671892214600e-01,9.368115338194370478e-01,9.379472166121249899e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.852764431560068203e-01,9.861002107846756903e-01,9.697163481664754503e-01
9.922113370483405248e-01,9.809110175983318802e-01,8.962633341034123013e-01,9.352695590719488639e-01,9.515007892688033264e-01,9.261196495248584792e-01,9.928252370158447970e-01,9.834411046376121401e-01,2.220446049250313081e-16,9.969878941566968633e-01,9.821602937031194136e-01,9.819037002056993924e-01,9.921427408501807266e-01,9.819523923378853381e-01,7.947928360107566759e-01,9.799733105301079439e-01,9.779965902512406384e-01,9.670185269491236024e-01
9.623234425124627123e-01,9.628324170671502813e-01,1.000000000000000000e+00,9.607525821300841873e-01,9.207258010849398433e-01,9.232939876686576675e-01,9.555668722279417882e-01,9.381787083783660330e-01,9.969878941566968633e-01,4.011121970674742521e-01,7.963092682219263807e-01,1.000000000000000000e+00,9.649066930209855286e-01,9.752835232785481701e-01,1.000000000000000000e+00,9.306976320729118957e-01,8.974742078058389749e-01,1.000000000000000000e+00
