# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.857650302779064067e-01,7.237152743715072889e-01,8.539984851033153301e-01,9.844229436902375285e-01,9.441548201432103937e-01,7.409975154964372202e-01,9.924669786217228395e-01,9.819373531984932901e-01,1.000000000000000000e+00,8.966918980832642161e-01,9.674022195368512378e-01,9.231259810326810644e-01,6.684865277492082480e-01,1.167825976087199846e+00,7.728445497058142877e-01,1.237453288564003717e+00,9.957399490939280451e-01
9.857650302779064067e-01,5.000000000000000000e-01,9.168802274855498702e-01,9.471908194994417274e-01,6.945888622993025008e-01,9.785388285357874416e-01,9.182269687821240645e-01,7.180648094768097289e-01,9.419604685155898993e-01,9.479294879146114017e-01,9.099668148948325541e-01,8.596441364711774336e-01,9.057053535683099454e-01,9.703692488615438538e-01,1.286925167771776790e+00,9.277716892625204048e-01,1.031221421889757295e+00,7.725108242674210146e-01
7.237152743715072889e-01,9.168802274855498702e-01,2.220446049250313081e-16,7.187573106708079473e-01,9.877164981937315291e-01,9.046540234525073387e-01,7.671690782011375553e-01,9.500618761148127422e-01,1.000000000000000000e+00,9.934543065249927807e-01,9.372779224415187516e-01,9.466034470587136873e-01,6.288769584842667237e-01,9.606328060387694379e-01,1.000462611986887351e+00,8.753547078460252040e-01,1.102188540475785183e+00,9.419535264861205182e-01
8.539984851033153301e-01,9.471908194994417274e-01,7.187573106708079473e-01,1.110223024625156540e-16,9.415444500266354488e-01,9.325619697505284078e-01,8.101319439044206705e-01,9.783782409535964897e-01,9.878337280259616993e-01,1.000000000000000000e+00,9.700056332510310630e-01,9.731515368874906757e-01,8.910165290958331763e-01,9.562227752639457234e-01,1.245233034486259216e+00,9.143899329161540024e-01,1.076369050082163881e+00,9.630686943669005684e-01
9.844229436902375285e-01,6.945888622993025008e-01,9.877164981937315291e-01,9.415444500266354488e-01,0.000000000000000000e+00,9.253804374142611255e-01,9.282772663534795132e-01,6.054191951870548927e-01,9.892200498247675222e-01,9.714648717559861701e-01,9.584221031465205431e-01,9.577513821092459301e-01,9.432073329740292555e-01,9.885266486873247604e-01,1.296585153289114833e+00,9.578266684284985066e-01,1.127039076359497294e+00,8.405231427984782844e-01
9.441548201432103937e-01,9.785388285357874416e-01,9.046540234525073387e-01,9.325619697505284078e-01,9.253804374142611255e-01,0.000000000000000000e+00,9.664408495948060285e-01,9.556913881097863772e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.734061063984569273e-01,9.293473438395457586e-01,9.118228683622968678e-01,9.748930241845001898e-01,1.249971226961767767e+00,9.575521050520070521e-01,1.149425191723835393e+00,9.341657234726499226e-01
7.409975154964372202e-01,9.182269687821240645e-01,7.671690782011375553e-01,8.101319439044206705e-01,9.282772663534795132e-01,9.664408495948060285e-01,4.613852520506001031e-01,9.190139100751929524e-01,9.861176031154254007e-01,9.486706772125005349e-01,9.019327978252854594e-01,1.000000000000000000e+00,7.629116066869974233e-01,9.178207262774240593e-01,1.142365970311831180e+00,7.367572081748521295e-01,1.089819894643288656e+00,1.000000000000000000e+00
9.924669786217228395e-01,7.180648094768097289e-01,9.500618761148127422e-01,9.783782409535964897e-01,6.054191951870548927e-01,9.556913881097863772e-01,9.190139100751929524e-01,5.000000000000000000e-01,9.315949541068768713e-01,8.084733841238211927e-01,9.284050899893629971e-01,9.485852401009504664e-01,9.308748401455952948e-01,9.600499060266951545e-01,1.180182781259799807e+00,9.796073451890792150e-01,1.192154502871133115e+00,9.498343429853248754e-01
9.819373531984932901e-01,9.419604685155898993e-01,1.000000000000000000e+00,9.878337280259616993e-01,9.892200498247675222e-01,1.000000000000000000e+00,9.861176031154254007e-01,9.315949541068768713e-01,0.000000000000000000e+00,9.946882475119762645e-01,9.834934012176979046e-01,9.184029672402872491e-01,9.706407392714334614e-01,9.634188223882759194e-01,1.405300188441864773e+00,9.585192467823002715e-01,1.359026549316146859e+00,9.308891756345559765e-01
1.000000000000000000e+00,9.479294879146114017e-01,9.934543065249927807e-01,1.000000000000000000e+00,9.714648717559861701e-01,1.000000000000000000e+00,9.486706772125005349e-01,8.084733841238211927e-01,9.946882475119762645e-01,1.110223024625156540e-16,9.031378617340803938e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.761930218482735011e-01,1.161231412202271995e+00,9.871768975689240166e-01,1.149552422861854994e+00,1.000000000000000000e+00
