# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.519452853814698301e-01,1.000000000000000000e+00,9.850852149164612825e-01,1.270350545324895108e+00,9.942052517507526943e-01,3.736934832910979720e-01,8.637896456240854448e-01,9.319753838843988225e-01,1.000000000000000000e+00,7.146452971175338842e-01,1.186331855147110925e+00,7.069130654312236750e-01,9.596220925999756624e-01,1.000000000000000000e+00,3.349864525139178983e-02,9.943946416900748542e-01,9.734572882628674817e-01
9.519452853814698301e-01,1.110223024625156540e-16,7.123262829811600749e-01,9.562347905334275255e-01,1.127547584758849197e+00,9.115273932197192064e-01,8.288630231312255070e-01,9.854976730920129713e-01,9.541394682835748764e-01,9.728283350608847302e-01,8.804188133166428454e-01,1.077325017265309715e+00,8.273355748211511651e-01,9.824958374940456762e-01,9.446950997731536903e-01,9.383657107129718122e-01,9.799112759985006971e-01,7.398051967956187358e-01
1.000000000000000000e+00,7.123262829811600749e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.135060410195877445e+00,8.648905489735382313e-01,1.000000000000000000e+00,8.285255817178519555e-01,9.736669622171173488e-01,9.946334497162129251e-01,9.063653872620479612e-01,8.517365009053708969e-01,1.000000000000000000e+00,8.937327942525197244e-01,9.953238903839083385e-01,9.956681302495096197e-01,9.393840783236422354e-01,9.591713293072042790e-01
9.850852149164612825e-01,9.562347905334275255e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.196901484922588743e+00,9.767933769608623251e-01,9.866820095942955282e-01,1.000000000000000000e+00,9.750782816701364375e-01,9.910015502826261535e-01,9.912286523236274460e-01,1.220127587050199747e+00,1.000000000000000000e+00,8.318833880480176468e-01,9.797811839275817336e-01,9.874021951884838222e-01,9.691332005177596409e-01,1.000000000000000000e+00
1.270350545324895108e+00,1.127547584758849197e+00,1.135060410195877445e+00,1.196901484922588743e+00,5.075172126162375008e-01,1.263571930992647196e+00,1.261163143900518868e+00,1.142908009205831910e+00,1.288293195796687884e+00,1.244748923250155848e+00,1.308362365966283969e+00,1.131521220190502497e+00,1.267763664399548018e+00,1.260991722489587019e+00,1.305147661987229313e+00,1.273639172252833518e+00,1.336757422876311718e+00,1.295021369724175919e+00
9.942052517507526943e-01,9.115273932197192064e-01,8.648905489735382313e-01,9.767933769608623251e-01,1.263571930992647196e+00,-2.220446049250313081e-16,9.263023941198518241e-01,1.000000000000000000e+00,6.500390828341562344e-01,9.549606771588872167e-01,8.965395070045603099e-01,1.076148622321016823e+00,9.628606180533078041e-01,9.885198230357568061e-01,1.000000000000000000e+00,9.000470544674967766e-01,5.081497351824260100e-01,9.379666708511462669e-01
3.736934832910979720e-01,8.288630231312255070e-01,1.000000000000000000e+00,9.866820095942955282e-01,1.261163143900518868e+00,9.263023941198518241e-01,2.220446049250313081e-16,9.427921947659489987e-01,9.204597874756670350e-01,9.873264631652477474e-01,7.770200192989787924e-01,1.115211768622039523e+00,6.241164738157700675e-01,8.399870778281725014e-01,9.730365519781459804e-01,-4.548262044402151538e-02,9.833866390695571447e-01,8.926194528626179014e-01
8.637896456240854448e-01,9.854976730920129713e-01,8.285255817178519555e-01,1.000000000000000000e+00,1.142908009205831910e+00,1.000000000000000000e+00,9.427921947659489987e-01,-2.220446049250313081e-16,9.233861614838689835e-01,9.301603669347203729e-01,9.781027702099509558e-01,1.121461215411148737e+00,9.111526127823053045e-01,7.914461583657107502e-01,9.840580881461309382e-01,9.020042616400403279e-01,8.457900417134247562e-01,7.672227654432589583e-01
9.319753838843988225e-01,9.541394682835748764e-01,9.736669622171173488e-01,9.750782816701364375e-01,1.288293195796687884e+00,6.500390828341562344e-01,9.204597874756670350e-01,9.233861614838689835e-01,0.000000000000000000e+00,9.575851001208134372e-01,9.119971979273012730e-01,1.182951412423260740e+00,8.822153475943095291e-01,9.666199577733171067e-01,8.934234387277454337e-01,9.176066080355209653e-01,9.829459587189597336e-01,9.149139914265902451e-01
1.000000000000000000e+00,9.728283350608847302e-01,9.946334497162129251e-01,9.910015502826261535e-01,1.244748923250155848e+00,9.549606771588872167e-01,9.873264631652477474e-01,9.301603669347203729e-01,9.575851001208134372e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.214113079468812639e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.060109794650601511e-01,9.933259388518279609e-01,8.009787859126619169e-01,7.898102317156295848e-01
7.146452971175338842e-01,8.804188133166428454e-01,9.063653872620479612e-01,9.912286523236274460e-01,1.308362365966283969e+00,8.965395070045603099e-01,7.770200192989787924e-01,9.781027702099509558e-01,9.119971979273012730e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.115888767226770772e+00,9.705142469300458430e-01,8.145813307290402649e-01,9.766325749838566939e-01,7.428655819765013213e-01,9.651708964827537818e-01,1.000000000000000000e+00
1.186331855147110925e+00,1.077325017265309715e+00,8.517365009053708969e-01,1.220127587050199747e+00,1.131521220190502497e+00,1.076148622321016823e+00,1.115211768622039523e+00,1.121461215411148737e+00,1.182951412423260740e+00,1.214113079468812639e+00,1.115888767226770772e+00,-2.220446049250313081e-16,1.183601666533904639e+00,1.158571833610991364e+00,1.310208354577520495e+00,1.119353350882722253e+00,1.253117327720034258e+00,1.229614988449080348e+00
7.069130654312236750e-01,8.273355748211511651e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.267763664399548018e+00,9.628606180533078041e-01,6.241164738157700675e-01,9.111526127823053045e-01,8.822153475943095291e-01,1.000000000000000000e+00,9.705142469300458430e-01,1.183601666533904639e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.589312663599831588e-01,6.008462857635569199e-01,9.949272176248253885e-01,6.007868778091853823e-01
9.596220925999756624e-01,9.824958374940456762e-01,8.937327942525197244e-01,8.318833880480176468e-01,1.260991722489587019e+00,9.885198230357568061e-01,8.399870778281725014e-01,7.914461583657107502e-01,9.666199577733171067e-01,1.000000000000000000e+00,8.145813307290402649e-01,1.158571833610991364e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.812962203885144952e-01,8.259771167075766751e-01,9.758818183592967710e-01,9.471195602674691294e-01
1.000000000000000000e+00,9.446950997731536903e-01,9.953238903839083385e-01,9.797811839275817336e-01,1.305147661987229313e+00,1.000000000000000000e+00,9.730365519781459804e-01,9.840580881461309382e-01,8.934234387277454337e-01,9.060109794650601511e-01,9.766325749838566939e-01,1.310208354577520495e+00,9.589312663599831588e-01,9.812962203885144952e-01,-2.220446049250313081e-16,9.621286542595196556e-01,9.255264339702949927e-01,9.569338404395254516e-01
3.349864525139178983e-02,9.383657107129718122e-01,9.956681302495096197e-01,9.874021951884838222e-01,1.273639172252833518e+00,9.000470544674967766e-01,-4.548262044402151538e-02,9.020042616400403279e-01,9.176066080355209653e-01,9.933259388518279609e-01,7.428655819765013213e-01,1.119353350882722253e+00,6.008462857635569199e-01,8.259771167075766751e-01,9.621286542595196556e-01,1.110223024625156540e-16,9.920424287358813320e-01,9.114591109892266063e-01
9.943946416900748542e-01,9.799112759985006971e-01,9.393840783236422354e-01,9.691332005177596409e-01,1.336757422876311718e+00,5.081497351824260100e-01,9.833866390695571447e-01,8.457900417134247562e-01,9.829459587189597336e-01,8.009787859126619169e-01,9.651708964827537818e-01,1.253117327720034258e+00,9.949272176248253885e-01,9.758818183592967710e-01,9.255264339702949927e-01,9.920424287358813320e-01,2.220446049250313081e-16,9.700611981307299958e-01
9.734572882628674817e-01,7.398051967956187358e-01,9.591713293072042790e-01,1.000000000000000000e+00,1.295021369724175919e+00,9.379666708511462669e-01,8.926194528626179014e-01,7.672227654432589583e-01,9.149139914265902451e-01,7.898102317156295848e-01,1.000000000000000000e+00,1.229614988449080348e+00,6.007868778091853823e-01,9.471195602674691294e-01,9.569338404395254516e-01,9.114591109892266063e-01,9.700611981307299958e-01,0.000000000000000000e+00
