# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,7.360312321731756757e-01,7.907141265979419353e-01,9.044875779425032292e-01,7.801422995458155984e-01,9.339607741404338803e-01,5.764728329321695544e-01,7.193950384852622060e-01,9.251960713592812802e-01,7.511318705717170419e-01,1.068980496218990606e+00,1.000000000000000000e+00,7.774923953066532611e-01,6.187921463902865682e-01,9.499565940524562491e-01,3.555973419153645176e-01,8.612098377364736379e-01,9.377124736158792828e-01
7.360312321731756757e-01,-2.220446049250313081e-16,9.532422394447838121e-01,9.351535782980689993e-01,8.466431800220721726e-01,9.145153512096827475e-01,8.063779073340436865e-01,8.292899511051050609e-01,9.926367467315448945e-01,7.885335251158205327e-01,1.150309412912738694e+00,9.978930980362684666e-01,9.585222895736968951e-01,8.351243419545764102e-01,9.191951931597558412e-01,7.523827632550554867e-01,9.987791550074742730e-01,9.083166561286335483e-01
7.907141265979419353e-01,9.532422394447838121e-01,1.110223024625156540e-16,1.000000000000000000e+00,7.953168973437444444e-01,1.000000000000000000e+00,9.799060875291700778e-01,9.965848274546706964e-01,9.733624957417802426e-01,9.599758710116124139e-01,1.003195983378439626e+00,8.058339463551871251e-01,1.000000000000000000e+00,9.024856505494469605e-01,9.832333584263235338e-01,7.629719655204639794e-01,8.605497810132883840e-01,9.575091974257810001e-01
9.044875779425032292e-01,9.351535782980689993e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,8.785374821500649967e-01,9.112266086862297332e-01,9.696723049350761681e-01,1.000000000000000000e+00,9.090593270916930146e-01,1.176899651305355787e+00,1.000000000000000000e+00,8.686366162971164151e-01,9.240242218245702244e-01,9.447432896479303066e-01,9.358981210127472750e-01,9.794948091034514359e-01,1.000000000000000000e+00
7.801422995458155984e-01,8.466431800220721726e-01,7.953168973437444444e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.642406429628496145e-01,7.402242020698204250e-01,7.683180976132801820e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.029224654677815654e+00,9.508311031514203870e-01,9.667234150218014799e-01,6.014998189207112489e-01,1.000000000000000000e+00,5.940787561245279846e-01,8.348052829805973074e-01,9.229989641055110772e-01
9.339607741404338803e-01,9.145153512096827475e-01,1.000000000000000000e+00,8.785374821500649967e-01,9.642406429628496145e-01,-2.220446049250313081e-16,8.825014672836197782e-01,9.070001537688910931e-01,8.636067195612351366e-01,1.000000000000000000e+00,1.123643437277809243e+00,9.004575384863002796e-01,9.848290636206964432e-01,9.590847518209857370e-01,9.458313191139514631e-01,8.636485508739004668e-01,1.000000000000000000e+00,9.161757776162960942e-01
5.764728329321695544e-01,8.063779073340436865e-01,9.799060875291700778e-01,9.112266086862297332e-01,7.402242020698204250e-01,8.825014672836197782e-01,0.000000000000000000e+00,8.488080056847955301e-01,8.940772063228183963e-01,9.114659049209938857e-01,1.056960331863177505e+00,7.657894274799205148e-01,6.034964412450237736e-01,6.909669788511678679e-01,9.382042226972274745e-01,5.672892446077061335e-01,9.303065513622976734e-01,8.041019336413681717e-01
7.193950384852622060e-01,8.292899511051050609e-01,9.965848274546706964e-01,9.696723049350761681e-01,7.683180976132801820e-01,9.070001537688910931e-01,8.488080056847955301e-01,2.897890607153085218e-01,1.000000000000000000e+00,9.597662611806088151e-01,1.113715303555091740e+00,8.997445878842382783e-01,8.836203028512732427e-01,6.563514865717919866e-01,9.650536872068855576e-01,6.097956051071951045e-01,9.687045222168819691e-01,8.797016165620601402e-01
9.251960713592812802e-01,9.926367467315448945e-01,9.733624957417802426e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.636067195612351366e-01,8.940772063228183963e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.748501055142579919e-01,1.154726558248283741e+00,8.630199483164677776e-01,9.385214604217154699e-01,9.703496073529818133e-01,9.962827441650287108e-01,9.055467142375070999e-01,9.570677782106911113e-01,7.943061088203213771e-01
7.511318705717170419e-01,7.885335251158205327e-01,9.599758710116124139e-01,9.090593270916930146e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.114659049209938857e-01,9.597662611806088151e-01,9.748501055142579919e-01,0.000000000000000000e+00,1.103355896923429613e+00,9.906393676217618571e-01,9.121923130364548715e-01,8.089297874969688662e-01,9.302920301860255758e-01,9.185249285508588768e-01,7.908830134601052553e-01,9.162650980096149755e-01
1.068980496218990606e+00,1.150309412912738694e+00,1.003195983378439626e+00,1.176899651305355787e+00,1.029224654677815654e+00,1.123643437277809243e+00,1.056960331863177505e+00,1.113715303555091740e+00,1.154726558248283741e+00,1.103355896923429613e+00,-2.220446049250313081e-16,1.118787803789654145e+00,1.180543810260691995e+00,1.133475183752358451e+00,1.233260433564109748e+00,1.058084971058446566e+00,1.125666876472876332e+00,1.097988401229638367e+00
1.000000000000000000e+00,9.978930980362684666e-01,8.058339463551871251e-01,1.000000000000000000e+00,9.508311031514203870e-01,9.004575384863002796e-01,7.657894274799205148e-01,8.997445878842382783e-01,8.630199483164677776e-01,9.906393676217618571e-01,1.118787803789654145e+00,-4.440892098500626162e-16,6.422487089428199347e-01,9.610847137779441329e-01,1.000000000000000000e+00,9.498990433777403375e-01,9.325261083466691581e-01,1.799685350995749999e-01
7.774923953066532611e-01,9.585222895736968951e-01,1.000000000000000000e+00,8.686366162971164151e-01,9.667234150218014799e-01,9.848290636206964432e-01,6.034964412450237736e-01,8.836203028512732427e-01,9.385214604217154699e-01,9.121923130364548715e-01,1.180543810260691995e+00,6.422487089428199347e-01,0.000000000000000000e+00,8.954009644322415973e-01,1.000000000000000000e+00,8.962632522735014540e-01,9.256899172502206508e-01,5.817380110663501469e-01
6.187921463902865682e-01,8.351243419545764102e-01,9.024856505494469605e-01,9.240242218245702244e-01,6.014998189207112489e-01,9.590847518209857370e-01,6.909669788511678679e-01,6.563514865717919866e-01,9.703496073529818133e-01,8.089297874969688662e-01,1.133475183752358451e+00,9.610847137779441329e-01,8.954009644322415973e-01,2.220446049250313081e-16,8.281989710128133675e-01,4.275920139358280192e-01,9.223192129964581376e-01,9.447527969763518385e-01
9.499565940524562491e-01,9.191951931597558412e-01,9.832333584263235338e-01,9.447432896479303066e-01,1.000000000000000000e+00,9.458313191139514631e-01,9.382042226972274745e-01,9.650536872068855576e-01,9.962827441650287108e-01,9.302920301860255758e-01,1.233260433564109748e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.281989710128133675e-01,0.000000000000000000e+00,8.449423291020961013e-01,9.847650830632601604e-01,1.000000000000000000e+00
3.555973419153645176e-01,7.523827632550554867e-01,7.629719655204639794e-01,9.358981210127472750e-01,5.940787561245279846e-01,8.636485508739004668e-01,5.672892446077061335e-01,6.097956051071951045e-01,9.055467142375070999e-01,9.185249285508588768e-01,1.058084971058446566e+00,9.498990433777403375e-01,8.962632522735014540e-01,4.275920139358280192e-01,8.449423291020961013e-01,0.000000000000000000e+00,9.162002570286376102e-01,9.670194249977241974e-01
8.612098377364736379e-01,9.987791550074742730e-01,8.605497810132883840e-01,9.794948091034514359e-01,8.348052829805973074e-01,1.000000000000000000e+00,9.303065513622976734e-01,9.687045222168819691e-01,9.570677782106911113e-01,7.908830134601052553e-01,1.125666876472876332e+00,9.325261083466691581e-01,9.256899172502206508e-01,9.223192129964581376e-01,9.847650830632601604e-01,9.162002570286376102e-01,0.000000000000000000e+00,9.406309940022037352e-01
9.377124736158792828e-01,9.083166561286335483e-01,9.575091974257810001e-01,1.000000000000000000e+00,9.229989641055110772e-01,9.161757776162960942e-01,8.041019336413681717e-01,8.797016165620601402e-01,7.943061088203213771e-01,9.162650980096149755e-01,1.097988401229638367e+00,1.799685350995749999e-01,5.817380110663501469e-01,9.447527969763518385e-01,1.000000000000000000e+00,9.670194249977241974e-01,9.406309940022037352e-01,0.000000000000000000e+00
