# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.098665457622463926e+00,9.562935946148652944e-01,1.207524757393855008e+00,1.098624089057142372e+00,1.124414148328489071e+00,1.018612926905892335e+00,9.850633984278948097e-01,1.240032706752624891e+00,1.133200810469252806e+00,1.122971461930659665e+00,1.103848301544569033e+00,9.802574167016300244e-01,8.653462172628819671e-01,1.102942813087423701e+00,5.190895495523919490e-01,1.150373487981531495e+00,1.134212796350845709e+00
1.098665457622463926e+00,0.000000000000000000e+00,9.676488144735915231e-01,9.801241854024703715e-01,8.193936412703068939e-01,9.862843391757745160e-01,9.186815087963745574e-01,5.894083497887270262e-01,8.915576361956916163e-01,1.000000000000000000e+00,9.899175705531488845e-01,9.681312423287717905e-01,9.603306881676393347e-01,9.494306469492853617e-01,9.892253134948325588e-01,9.429526397599327092e-01,9.611449719654646673e-01,8.015163087983181445e-01
9.562935946148652944e-01,9.676488144735915231e-01,0.000000000000000000e+00,9.696592677786960435e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.116704739615049125e-01,9.792075537649087558e-01,8.786357212608727485e-01,9.083163366531712413e-01,9.865693751609997397e-01,9.906279477556201307e-01,1.000000000000000000e+00,9.159776180346839158e-01,8.828767673631633395e-01,9.692150463914296354e-01,1.000000000000000000e+00
1.207524757393855008e+00,9.801241854024703715e-01,9.696592677786960435e-01,4.853223102723092097e-01,9.848592609735257186e-01,1.000000000000000000e+00,9.973554481166808650e-01,9.298223202722498693e-01,9.710943684727273428e-01,9.316025587426697285e-01,9.494516190911499454e-01,9.642533703675315593e-01,9.817154525940641197e-01,9.721868847227361776e-01,9.719216823356464641e-01,9.772883231540732130e-01,9.780931234775531724e-01,9.498149416245860177e-01
1.098624089057142372e+00,8.193936412703068939e-01,1.000000000000000000e+00,9.848592609735257186e-01,1.110223024625156540e-16,9.449969108404457918e-01,9.536400621378685605e-01,6.687569574595084720e-01,9.342254510430046954e-01,1.000000000000000000e+00,9.930229614334628030e-01,9.301189165186357632e-01,9.556348534891374591e-01,9.422273634884987814e-01,9.373581202028229420e-01,8.830432915701895702e-01,9.441844812006079390e-01,9.529903900980464249e-01
1.124414148328489071e+00,9.862843391757745160e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.449969108404457918e-01,2.220446049250313081e-16,9.359278552815051277e-01,9.517150447042276307e-01,9.616201685421901235e-01,8.816817055286252369e-01,1.000000000000000000e+00,9.700520549181976815e-01,1.000000000000000000e+00,9.290376110938252108e-01,8.659408665936991767e-01,9.316996481040630274e-01,9.778868621787070170e-01,9.881415013167436090e-01
1.018612926905892335e+00,9.186815087963745574e-01,1.000000000000000000e+00,9.973554481166808650e-01,9.536400621378685605e-01,9.359278552815051277e-01,1.110223024625156540e-16,7.606888390031317781e-01,9.961647022437468690e-01,9.117228356977740145e-01,9.990415179104037424e-01,1.000000000000000000e+00,9.956975256586392264e-01,7.892590130751800936e-01,9.556563128901828241e-01,8.862785555900252188e-01,9.528322636471029394e-01,1.000000000000000000e+00
9.850633984278948097e-01,5.894083497887270262e-01,9.116704739615049125e-01,9.298223202722498693e-01,6.687569574595084720e-01,9.517150447042276307e-01,7.606888390031317781e-01,0.000000000000000000e+00,9.326775525322261728e-01,9.958859914469744279e-01,9.006931752060812757e-01,9.637085859240089869e-01,9.526243941987451169e-01,9.251253684667759547e-01,8.358868085921888902e-01,9.454147585975631873e-01,9.606797110580429511e-01,9.657859107361690398e-01
1.240032706752624891e+00,8.915576361956916163e-01,9.792075537649087558e-01,9.710943684727273428e-01,9.342254510430046954e-01,9.616201685421901235e-01,9.961647022437468690e-01,9.326775525322261728e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.898366094843550345e-01,8.115199075680461505e-01,9.834507642449319409e-01,1.000000000000000000e+00,6.487618673755332077e-01,9.877298045512612479e-01,5.985943205443936543e-01,8.447489588471353006e-01
1.133200810469252806e+00,1.000000000000000000e+00,8.786357212608727485e-01,9.316025587426697285e-01,1.000000000000000000e+00,8.816817055286252369e-01,9.117228356977740145e-01,9.958859914469744279e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.164829101966750491e-01,9.001800955345227173e-01,1.000000000000000000e+00,9.241083022997914620e-01,9.125827668659316494e-01,1.000000000000000000e+00,9.994955449451181639e-01,9.142688434972353617e-01
