# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.734292231012644514e-01,9.144213937788809865e-01,9.612799781331011761e-01,9.029257885701724717e-01,9.907003815917613254e-01,8.935880181645415865e-01,1.000000000000000000e+00,9.774652893123069175e-01,9.624893417237720961e-01,9.622288112023292816e-01,1.000000000000000000e+00,9.948233939390873637e-01,9.025168164217742817e-01,9.821018800117963243e-01,7.842527026175236671e-01,9.552583796021475449e-01,1.000000000000000000e+00
9.734292231012644514e-01,0.000000000000000000e+00,8.769208159412062997e-01,9.129721995415134295e-01,9.085992545573877699e-01,8.658393726862173567e-01,8.916714448423975758e-01,9.939337862021015990e-01,9.197815229853002483e-01,9.313429841268335840e-01,9.286614908666538382e-01,9.227109953976797563e-01,9.320779859178636162e-01,9.776837726850201582e-01,9.698828580296141588e-01,9.361504847895159021e-01,9.480946012813689094e-01,1.000000000000000000e+00
9.144213937788809865e-01,8.769208159412062997e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.607076826672724001e-01,8.976746579621567301e-01,8.423044046046982425e-01,9.463135929987116501e-01,9.721548592162043700e-01,9.918950960455924504e-01,9.172211516286210564e-01,9.891573176993699867e-01,2.717286377164617184e-01,9.105423365574483174e-01,9.695021060611301866e-01,1.623267738843466867e-01,8.452057103777609326e-01,9.944500532463277365e-01
9.612799781331011761e-01,9.129721995415134295e-01,1.000000000000000000e+00,4.703657391703859325e-01,9.216876257712651732e-01,9.217234946412181662e-01,9.396538915538701353e-01,9.523909495552574933e-01,9.614516793868225220e-01,9.534801596746405039e-01,7.929243211422989379e-01,9.690898027289289729e-01,9.594403662553067091e-01,1.000000000000000000e+00,9.804829493976692234e-01,9.871207065289004934e-01,9.387881724353657198e-01,9.532627014282772926e-01
9.029257885701724717e-01,9.085992545573877699e-01,7.607076826672724001e-01,9.216876257712651732e-01,0.000000000000000000e+00,8.923618304698834880e-01,8.517446168980025156e-01,9.204860273932283787e-01,9.311789427698633492e-01,9.505608502245580516e-01,9.553417526627898670e-01,9.656672762857475556e-01,8.220788323354966121e-01,9.909784213834412769e-01,9.642878145840033666e-01,6.656236768154684125e-01,9.301354471672533819e-01,9.620041145484343748e-01
9.907003815917613254e-01,8.658393726862173567e-01,8.976746579621567301e-01,9.217234946412181662e-01,8.923618304698834880e-01,1.110223024625156540e-16,9.326081123681375651e-01,8.781430524244875357e-01,9.865552572614589844e-01,8.843997143840144348e-01,9.285536863220066328e-01,8.790861430050562753e-01,8.698790128768003616e-01,7.086507416804082027e-01,8.982496643512882795e-01,9.662224115686613990e-01,1.000000000000000000e+00,8.506921025650224788e-01
8.935880181645415865e-01,8.916714448423975758e-01,8.423044046046982425e-01,9.396538915538701353e-01,8.517446168980025156e-01,9.326081123681375651e-01,5.137006496702360980e-01,9.846074138375350282e-01,8.890241096964871526e-01,9.812999479356512289e-01,9.261137344071143085e-01,9.475859992759807504e-01,8.042258308699481439e-01,9.389473898111964090e-01,8.810902972260209465e-01,7.613689755450442354e-01,8.876880380534754034e-01,9.252707127312932434e-01
1.000000000000000000e+00,9.939337862021015990e-01,9.463135929987116501e-01,9.523909495552574933e-01,9.204860273932283787e-01,8.781430524244875357e-01,9.846074138375350282e-01,5.000000000000000000e-01,9.110153944792307446e-01,9.370807992583012336e-01,9.130934130300547569e-01,9.359409140539283189e-01,9.792706790441105813e-01,9.006909320396170315e-01,9.937177350131634057e-01,9.885515900060186656e-01,9.708284495645606027e-01,7.932773164337203475e-01
9.774652893123069175e-01,9.197815229853002483e-01,9.721548592162043700e-01,9.614516793868225220e-01,9.311789427698633492e-01,9.865552572614589844e-01,8.890241096964871526e-01,9.110153944792307446e-01,0.000000000000000000e+00,9.438362484877110825e-01,9.828288435186152139e-01,7.398650875810373062e-01,9.112928549158754166e-01,9.477825967751585257e-01,9.555167798583673600e-01,8.993841956173037611e-01,1.000000000000000000e+00,9.352167928433016142e-01
9.624893417237720961e-01,9.313429841268335840e-01,9.918950960455924504e-01,9.534801596746405039e-01,9.505608502245580516e-01,8.843997143840144348e-01,9.812999479356512289e-01,9.370807992583011226e-01,9.438362484877110825e-01,5.282508796986075117e-01,9.290654761334230516e-01,9.021338344372461515e-01,9.853201351758834603e-01,9.339956017613548767e-01,9.832941964098612653e-01,1.000000000000000000e+00,9.078515057395285526e-01,8.949965188872397448e-01
9.622288112023292816e-01,9.286614908666538382e-01,9.172211516286210564e-01,7.929243211422989379e-01,9.553417526627898670e-01,9.285536863220066328e-01,9.261137344071143085e-01,9.130934130300547569e-01,9.828288435186152139e-01,9.290654761334229406e-01,4.959694113611362032e-01,9.907383183901382617e-01,1.000000000000000000e+00,9.503977725271990362e-01,8.244921456783158575e-01,9.546956936389776605e-01,8.841397422816186236e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.227109953976797563e-01,9.891573176993699867e-01,9.690898027289289729e-01,9.656672762857475556e-01,8.790861430050562753e-01,9.475859992759807504e-01,9.359409140539283189e-01,7.398650875810373062e-01,9.021338344372461515e-01,9.907383183901382617e-01,-2.220446049250313081e-16,9.309533602857789081e-01,9.513195028761874950e-01,1.000000000000000000e+00,9.648566799312603415e-01,9.837456428889290727e-01,6.448341827399443060e-01
9.948233939390873637e-01,9.320779859178636162e-01,2.717286377164617184e-01,9.594403662553067091e-01,8.220788323354966121e-01,8.698790128768003616e-01,8.042258308699481439e-01,9.792706790441105813e-01,9.112928549158754166e-01,9.853201351758834603e-01,1.000000000000000000e+00,9.309533602857789081e-01,0.000000000000000000e+00,8.234769288799083098e-01,1.000000000000000000e+00,4.948555349697191241e-01,9.376434911874567124e-01,8.127416976284844718e-01
9.025168164217742817e-01,9.776837726850201582e-01,9.105423365574483174e-01,1.000000000000000000e+00,9.909784213834412769e-01,7.086507416804082027e-01,9.389473898111964090e-01,9.006909320396170315e-01,9.477825967751585257e-01,9.339956017613548767e-01,9.503977725271990362e-01,9.513195028761874950e-01,8.234769288799083098e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.552357366027846242e-01,8.807373296313362188e-01,8.477079702011296458e-01
9.821018800117963243e-01,9.698828580296141588e-01,9.695021060611301866e-01,9.804829493976692234e-01,9.642878145840033666e-01,8.982496643512882795e-01,8.810902972260209465e-01,9.937177350131634057e-01,9.555167798583673600e-01,9.832941964098612653e-01,8.244921456783158575e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,9.530558559561362886e-01,8.078659855686320945e-01,1.000000000000000000e+00
