# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,8.608235933950394436e-01,9.921744103147357441e-01,9.758577510519128584e-01,9.858786075078487254e-01,8.202648667747043376e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.995247193010849962e-01,9.400933037462555486e-01,9.620061729915888593e-01,9.707952673878224026e-01,9.673338440251629811e-01,1.000000000000000000e+00,5.178081398703191507e-01,9.773035405480783311e-01,8.853798546531840286e-01
1.000000000000000000e+00,1.110223024625156540e-16,8.827556961856605211e-01,9.802779163454429234e-01,9.331386426180326987e-01,9.306072636264400844e-01,8.480575990003872411e-01,9.784034402695928057e-01,9.403602014861746072e-01,9.728539420569130014e-01,9.960398608030205381e-01,8.883552283286120232e-01,9.341867935585613791e-01,9.076883329065412731e-01,8.871362122168183761e-01,9.769143143530962803e-01,8.617825852809873899e-01,1.000000000000000000e+00
8.608235933950394436e-01,8.827556961856605211e-01,0.000000000000000000e+00,8.899830339737725415e-01,8.233215262222507436e-01,8.097390977912712895e-01,8.798941925048544554e-01,8.676395494823099241e-01,8.462067395788352986e-01,9.188903124072843598e-01,9.610472375188130467e-01,8.505727702401595369e-01,7.596530405998365154e-01,9.409032573262443577e-01,9.454999846523097773e-01,8.484385889944996428e-01,9.653228011933406849e-01,8.571096090078302865e-01
9.921744103147357441e-01,9.802779163454429234e-01,8.899830339737725415e-01,0.000000000000000000e+00,9.467671990872920107e-01,9.881907017090855172e-01,9.718912207760946886e-01,1.000000000000000000e+00,9.559617352274354385e-01,9.350934358722886586e-01,9.802875574603147069e-01,9.918006915228039233e-01,1.000000000000000000e+00,9.860779609147453106e-01,9.732211329951236944e-01,9.413759074197898258e-01,9.590834202969737987e-01,1.000000000000000000e+00
9.758577510519128584e-01,9.331386426180326987e-01,8.233215262222507436e-01,9.467671990872920107e-01,-2.220446049250313081e-16,9.726997190530554116e-01,9.318058937167279510e-01,9.242516845717793084e-01,9.229664013243801257e-01,9.449553464298446892e-01,9.795484327626867715e-01,9.550847848938497364e-01,9.353302128552879458e-01,7.811102053978049575e-01,9.619880951479790054e-01,9.564951256611584629e-01,9.729930703565439210e-01,9.913238812486668827e-01
9.858786075078487254e-01,9.306072636264400844e-01,8.097390977912712895e-01,9.881907017090855172e-01,9.726997190530554116e-01,-4.440892098500626162e-16,9.303651876741770854e-01,8.818640394186005871e-01,9.404333081690667839e-01,9.667061408939786604e-01,9.673114855446793836e-01,9.584041698219614158e-01,8.580678959232893588e-01,9.319108452738472659e-01,9.770581139124855374e-01,8.825968557865432329e-01,5.715311997168073255e-01,1.000000000000000000e+00
8.202648667747043376e-01,8.480575990003872411e-01,8.798941925048544554e-01,9.718912207760946886e-01,9.318058937167279510e-01,9.303651876741770854e-01,6.519174569810163300e-01,7.759574573415742860e-01,9.554544978015334644e-01,9.498354629082427225e-01,9.818240894202604485e-01,9.110061562390097123e-01,8.149458687864372664e-01,8.859054007675798426e-01,9.708554015627948175e-01,7.615491968661155520e-01,9.685652813906154845e-01,9.111595286712367292e-01
1.000000000000000000e+00,9.784034402695928057e-01,8.676395494823099241e-01,1.000000000000000000e+00,9.242516845717793084e-01,8.818640394186005871e-01,7.759574573415742860e-01,2.220446049250313081e-16,9.595027174337418252e-01,8.761805782474582083e-01,1.000000000000000000e+00,8.442298835005657143e-01,8.502808376538125712e-01,9.747735116954950874e-01,9.931143159372359808e-01,8.252455124016474519e-01,9.832120314477631462e-01,8.769623026735285931e-01
1.000000000000000000e+00,9.403602014861746072e-01,8.462067395788352986e-01,9.559617352274354385e-01,9.229664013243801257e-01,9.404333081690667839e-01,9.554544978015334644e-01,9.595027174337418252e-01,-2.220446049250313081e-16,9.898589318620611976e-01,8.931992360480960347e-01,8.803083651918545138e-01,9.931957437321821125e-01,9.371548757557646159e-01,3.500767559474430302e-01,9.985909689390330968e-01,8.075871816672943737e-01,1.000000000000000000e+00
9.995247193010849962e-01,9.728539420569130014e-01,9.188903124072843598e-01,9.350934358722886586e-01,9.449553464298446892e-01,9.667061408939786604e-01,9.498354629082427225e-01,8.761805782474582083e-01,9.898589318620611976e-01,4.786402198866437918e-01,9.271624153022354209e-01,9.111357430355004894e-01,9.778887361530793632e-01,9.126095973995198563e-01,9.917909624093553811e-01,9.223230543698918149e-01,9.638891274500015482e-01,1.000000000000000000e+00
