# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.006777400739690354e+00,1.000000000000000000e+00,nan,1.000000000000000000e+00,7.954868274550112028e-01,8.821985124783368049e-01,1.000000000000000000e+00,9.087003616647546522e-01,9.191342573482907952e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.253939510363410337e-01,7.972623651417866109e-01,8.370675555333000339e-01,8.845052583556624048e-01,9.831480662312716001e-01
1.006777400739690354e+00,7.668028008645350058e-01,9.464777757547047088e-01,nan,9.975157508522027872e-01,9.155650760607156879e-01,9.155722330064377523e-01,8.124477586945184626e-01,9.516909191772520149e-01,9.490752548411515166e-01,9.940779246752747822e-01,9.754217870852470718e-01,9.844004073674862410e-01,1.006036183747979873e+00,9.676411464829510756e-01,9.478472276903049387e-01,9.719141984299128900e-01,9.623819379865459211e-01
1.000000000000000000e+00,9.464777757547047088e-01,0.000000000000000000e+00,nan,9.461518959955249608e-01,1.000000000000000000e+00,8.973972065934521236e-01,8.641946968290211695e-01,9.530299663375783048e-01,9.710162935161407161e-01,8.432358183765419346e-01,8.185632828337572331e-01,9.835879990295764985e-01,8.575554071104924958e-01,1.000000000000000000e+00,8.410147290075142834e-01,9.476392295288187384e-01,1.000000000000000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,9.975157508522027872e-01,9.461518959955249608e-01,nan,0.000000000000000000e+00,1.000000000000000000e+00,9.751466576185302548e-01,9.882942712801414675e-01,1.000000000000000000e+00,9.903778411715337127e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.501806005601240113e-01,9.773382693806244026e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.954868274550112028e-01,9.155650760607156879e-01,1.000000000000000000e+00,nan,1.000000000000000000e+00,1.110223024625156540e-16,9.820882408018737353e-01,8.897500858612112928e-01,7.810456163474976954e-01,9.407419986920598776e-01,9.731613557785093738e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.718866126208293155e-01,7.268116993044293483e-01,9.441404706830427429e-01,5.095095538565611593e-01,1.000000000000000000e+00
8.821985124783368049e-01,9.155722330064377523e-01,8.973972065934521236e-01,nan,9.751466576185302548e-01,9.820882408018737353e-01,1.110223024625156540e-16,9.545619730628687183e-01,9.846592407522516410e-01,8.634859659138323096e-01,9.926381862381401522e-01,1.000000000000000000e+00,8.425604590679673933e-01,9.856029420312242273e-01,8.524613857153860996e-01,2.120044510830842999e-01,8.667010420335380383e-01,9.392245865926427406e-01
1.000000000000000000e+00,8.124477586945184626e-01,8.641946968290211695e-01,nan,9.882942712801414675e-01,8.897500858612112928e-01,9.545619730628687183e-01,4.848297247411064159e-01,9.054835506977898518e-01,9.541730324244636074e-01,1.000000000000000000e+00,7.973074272584208533e-01,9.260739663256779552e-01,1.000000000000000000e+00,9.876020240065179756e-01,9.298522392998909147e-01,9.997076351486486878e-01,9.626522286333288880e-01
9.087003616647546522e-01,9.516909191772520149e-01,9.530299663375783048e-01,nan,1.000000000000000000e+00,7.810456163474976954e-01,9.846592407522516410e-01,9.054835506977898518e-01,2.220446049250313081e-16,8.226046074265981334e-01,9.752790575249880023e-01,1.000000000000000000e+00,9.744244105601264083e-01,9.589844072950252096e-01,4.798880042072468655e-01,9.785403041433832216e-01,9.045734292229686835e-01,9.867567121330935720e-01
9.191342573482907952e-01,9.490752548411515166e-01,9.710162935161407161e-01,nan,9.903778411715337127e-01,9.407419986920598776e-01,8.634859659138323096e-01,9.541730324244636074e-01,8.226046074265981334e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.864647386734065604e-01,1.000000000000000000e+00,8.935006270119332239e-01,9.426194388511723865e-01,8.281423755712952195e-01,8.912313531335704919e-01,9.967621727417265154e-01
