# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.321049446994740251e-01,6.945641183905519878e-01,8.591218625923949803e-01,9.367501224365529788e-01,9.999354121221581959e-01,5.874015640051198917e-01,9.111431927971040956e-01,9.733307552144097041e-01,9.723918968148173025e-01,9.955886609456726655e-01,2.268366756652184790e-01,2.561014325441438588e-01,9.429356261015117147e-01,1.000000000000000000e+00,1.373317269116047790e-01,9.675580544369439817e-01,2.935579332298153821e-01
9.321049446994740251e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.417348152786572113e-01,7.448699039355517471e-01,9.110360244949143871e-01,9.152689212116530415e-01,5.281351702004173365e-01,7.402422460076634181e-01,9.055207586661943031e-01,9.533955284102264560e-01,9.403196402216611460e-01,9.478986137694448422e-01,1.215213487875850706e+00,9.118185083151095771e-01,9.276865493798257534e-01,8.526547459835643883e-01,9.316542087731956023e-01
6.945641183905519878e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.982449178130241574e-01,1.000000000000000000e+00,9.622108071137117635e-01,8.099945143996527541e-01,1.000000000000000000e+00,9.711161543000406127e-01,8.436972175896453319e-01,8.163520458137911717e-01,7.062509877029624628e-01,7.896409534882979919e-01,1.074701750089034347e+00,9.551473537208470255e-01,7.536750171257622366e-01,9.221981374380339158e-01,7.548506807225552340e-01
8.591218625923949803e-01,9.417348152786572113e-01,9.982449178130241574e-01,2.220446049250313081e-16,9.306669503519935382e-01,9.564715091377253842e-01,9.084242386624588050e-01,8.911863715047237955e-01,9.289814769482226398e-01,7.202347214723419100e-01,8.220672554151642331e-01,9.640057524705744063e-01,9.500151411289093906e-01,1.313670958658046839e+00,9.301091692326882709e-01,9.123907312240552292e-01,9.385333349690573312e-01,9.191624040804464713e-01
9.367501224365529788e-01,7.448699039355517471e-01,1.000000000000000000e+00,9.306669503519935382e-01,0.000000000000000000e+00,8.971576156386731338e-01,9.159148393078471173e-01,4.761906461748357522e-01,8.911878917912364750e-01,8.091898735229634543e-01,8.737449989393102356e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.135694361412510123e+00,9.437568281417246796e-01,9.412215666346200882e-01,9.675436913060596611e-01,9.196020331612636545e-01
9.999354121221581959e-01,9.110360244949143871e-01,9.622108071137117635e-01,9.564715091377253842e-01,8.971576156386731338e-01,1.110223024625156540e-16,9.858817995255846345e-01,8.812792392640762529e-01,7.310040123935523937e-01,9.786048454812202868e-01,9.849500076347998956e-01,9.875453133484312085e-01,9.671795736080089911e-01,1.214034853073227893e+00,6.207341392075212960e-01,9.940929976179695426e-01,7.036631068293509594e-01,9.899455987186578376e-01
5.874015640051198917e-01,9.152689212116530415e-01,8.099945143996527541e-01,9.084242386624588050e-01,9.159148393078471173e-01,9.858817995255846345e-01,0.000000000000000000e+00,8.439290174786509002e-01,9.643784864791268285e-01,9.741171825751899771e-01,9.839037107158359330e-01,7.240831204563187296e-01,7.020915029141456820e-01,9.792133497373074480e-01,9.842346491494472493e-01,5.773104574308823844e-01,9.497643128282879932e-01,7.141194122076021111e-01
9.111431927971040956e-01,5.281351702004173365e-01,1.000000000000000000e+00,8.911863715047237955e-01,4.761906461748357522e-01,8.812792392640762529e-01,8.439290174786509002e-01,1.110223024625156540e-16,8.438853915473533140e-01,7.873861076922552549e-01,9.563645408911524148e-01,8.715072320403294270e-01,9.033013383802904750e-01,1.009675992758138241e+00,8.931583333204156094e-01,8.807576019059780714e-01,8.705226238168037867e-01,7.938855799763098187e-01
9.733307552144097041e-01,7.402422460076634181e-01,9.711161543000406127e-01,9.289814769482226398e-01,8.911878917912364750e-01,7.310040123935523937e-01,9.643784864791268285e-01,8.438853915473533140e-01,0.000000000000000000e+00,9.741162932484432879e-01,9.939260240646375921e-01,9.698959680773088232e-01,9.816973933340490399e-01,1.120451619060617299e+00,4.563734896947374553e-01,9.906334320740806110e-01,3.373107084243566200e-01,9.717822574247795275e-01
9.723918968148173025e-01,9.055207586661943031e-01,8.436972175896453319e-01,7.202347214723419100e-01,8.091898735229634543e-01,9.786048454812202868e-01,9.741171825751899771e-01,7.873861076922552549e-01,9.741162932484432879e-01,0.000000000000000000e+00,6.516440365889447639e-01,9.802672015738363998e-01,9.902156801594671487e-01,1.003661658414168656e+00,9.807672799785530637e-01,9.761360927656486108e-01,9.498114357069538105e-01,9.904869752691335405e-01
