# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.375118681414937871e-01,8.254550710584416251e-01,9.692178407950149399e-01,1.000000000000000000e+00,9.556623904729293351e-01,9.260376631129559888e-01,9.922882041587381963e-01,9.478793815005009948e-01,9.597449671968336649e-01,nan,9.347692477608615658e-01,9.368769251675185261e-01,8.307306250902423139e-01,9.496472889657925354e-01,9.353826126507089889e-01,9.248481533582832981e-01,9.707178852163228511e-01
9.375118681414937871e-01,0.000000000000000000e+00,9.917286414363499780e-01,9.450035020158290555e-01,3.989834402228377153e-01,9.845750982729056799e-01,9.079620210209130571e-01,2.864911759808791425e-01,9.928865251041666395e-01,9.485688470085995583e-01,nan,9.901713706356148892e-01,8.443900179059755651e-01,9.150864552267925500e-01,9.224808224978386928e-01,9.452734758691596628e-01,8.862361224630593837e-01,9.686586928439437916e-01
8.254550710584416251e-01,9.917286414363499780e-01,0.000000000000000000e+00,9.489343173114087593e-01,1.000000000000000000e+00,9.986202158036056042e-01,9.359365299214270628e-01,9.447209069865378783e-01,9.825968253919956652e-01,9.596672414123272876e-01,nan,8.462649280742297053e-01,9.154547763547742356e-01,9.643231824975255773e-01,1.000000000000000000e+00,7.338683583693664803e-01,9.307344708514380116e-01,9.126426465703608715e-01
9.692178407950149399e-01,9.450035020158290555e-01,9.489343173114087593e-01,3.374168351334342897e-01,9.697722477271751851e-01,9.165951615681093845e-01,9.687772742381498547e-01,9.818138854338719357e-01,9.708844297889069885e-01,9.460139647132823626e-01,nan,9.612532673022304852e-01,9.555599520373658784e-01,9.986641577898687228e-01,9.524686720691950548e-01,9.224590513823837101e-01,9.178650665365435390e-01,9.143614021031087891e-01
1.000000000000000000e+00,3.989834402228377153e-01,1.000000000000000000e+00,9.697722477271751851e-01,3.330669073875469621e-16,9.644646966660306298e-01,8.802881348448794441e-01,4.964186999024988722e-01,9.643539677753786288e-01,1.000000000000000000e+00,nan,9.194945477110771925e-01,9.714718399600178467e-01,9.342948361473220054e-01,9.537306662324993578e-01,9.766146440638152626e-01,8.859864288071692684e-01,9.669414149126906999e-01
9.556623904729293351e-01,9.845750982729056799e-01,9.986202158036056042e-01,9.165951615681093845e-01,9.644646966660306298e-01,1.110223024625156540e-16,8.875052163984067377e-01,9.772855547004597465e-01,1.000000000000000000e+00,9.163342574633680515e-01,nan,8.851178301108659774e-01,9.847994783790756657e-01,8.934088022668575935e-01,1.000000000000000000e+00,8.155054957187481968e-01,7.139567451373436402e-01,9.197343050140270870e-01
9.260376631129559888e-01,9.079620210209130571e-01,9.359365299214270628e-01,9.687772742381498547e-01,8.802881348448794441e-01,8.875052163984067377e-01,1.110223024625156540e-16,8.906527416204275127e-01,9.864533738692489173e-01,9.111986074676061698e-01,nan,7.929821989559840967e-01,9.848641254982817284e-01,9.389664506215535944e-01,1.000000000000000000e+00,5.852807845103829010e-01,8.501792734725854839e-01,9.061701081854587336e-01
9.922882041587381963e-01,2.864911759808791425e-01,9.447209069865378783e-01,9.818138854338719357e-01,4.964186999024988722e-01,9.772855547004597465e-01,8.906527416204275127e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.829035204837064388e-01,nan,1.000000000000000000e+00,9.021312898777148481e-01,9.328434601850583707e-01,8.934611810663607434e-01,9.512586668118987454e-01,9.035353485205200874e-01,9.985430883603187979e-01
9.478793815005009948e-01,9.928865251041666395e-01,9.825968253919956652e-01,9.708844297889069885e-01,9.643539677753786288e-01,1.000000000000000000e+00,9.864533738692489173e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.860810833431328248e-01,nan,9.565568791001950455e-01,9.354848124654757680e-01,7.771618235615154191e-01,9.610196157716801579e-01,9.692501826553818756e-01,8.542301976467546742e-01,8.794810608963727905e-01
9.597449671968336649e-01,9.485688470085995583e-01,9.596672414123272876e-01,9.460139647132823626e-01,1.000000000000000000e+00,9.163342574633680515e-01,9.111986074676061698e-01,9.829035204837064388e-01,9.860810833431328248e-01,3.848761187505516101e-01,nan,1.000000000000000000e+00,9.633487528365336505e-01,9.912160910515215306e-01,1.000000000000000000e+00,8.463755064283675633e-01,9.052105477189607008e-01,1.000000000000000000e+00
