# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.400638997708254951e-01,9.653809746704107297e-01,9.321212027555254576e-01,8.944011848307332757e-01,1.196159994811365257e+00,9.819354565210256514e-01,1.000000000000000000e+00,1.143734995266697307e+00,9.976238437642971357e-01,9.601139968232221822e-01,1.300290757564086963e+00,9.915314544303143185e-01,9.407445813843375859e-01,1.171002022003329923e+00,9.313464073045691904e-01,9.638433766434140182e-01,1.299912657565975405e+00
9.400638997708254951e-01,4.737136508427648440e-01,1.000000000000000000e+00,8.915775670067205283e-01,8.905119554884550759e-01,1.222425936260530088e+00,9.522011460434511854e-01,7.979810322020823854e-01,1.076210069498502397e+00,9.574580635907796733e-01,9.015910016128485527e-01,1.238327212190843962e+00,9.696632978192640806e-01,9.315499584678024192e-01,1.112508018289553036e+00,9.484773824868186765e-01,9.571079584191626299e-01,1.235259746210064513e+00
9.653809746704107297e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.857972956175053980e-01,1.000000000000000000e+00,1.076977896202514051e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.104258215946986921e+00,8.904324759437308723e-01,9.498591649256984404e-01,1.082330052973750512e+00,8.296208005145128128e-01,9.062997235083211089e-01,1.041774208496193621e+00,9.167731652549336863e-01,1.000000000000000000e+00,1.062811276355133616e+00
9.321212027555254576e-01,8.915775670067205283e-01,9.857972956175053980e-01,-2.220446049250313081e-16,9.635792027167440210e-01,1.326775939509217794e+00,9.948065792125225792e-01,9.144920370931333142e-01,1.283504423328973854e+00,9.992944319884839999e-01,9.597128795789087174e-01,1.367941435284036444e+00,1.000000000000000000e+00,9.602326337811568635e-01,1.307303217976454768e+00,9.873355206688787522e-01,9.776161092922218687e-01,1.282068439182295849e+00
8.944011848307332757e-01,8.905119554884550759e-01,1.000000000000000000e+00,9.635792027167440210e-01,0.000000000000000000e+00,1.156834309278283346e+00,9.408233670370464985e-01,9.888719586532757067e-01,1.107318787757446632e+00,9.873647920534339706e-01,9.424761149570100027e-01,1.258703407187777179e+00,9.613728891144184274e-01,9.185582624740050717e-01,1.139239546210889520e+00,9.239730369951710820e-01,1.000000000000000000e+00,1.259045136245704466e+00
1.196159994811365257e+00,1.222425936260530088e+00,1.076977896202514051e+00,1.326775939509217794e+00,1.156834309278283346e+00,-2.220446049250313081e-16,1.385231881765666140e+00,8.812460531268411223e-01,1.206550224397038962e+00,1.062329385887108790e+00,1.220203824174684204e+00,1.121318594745737807e+00,1.287880535472012200e+00,1.105054055841871108e+00,1.053021546600039215e+00,9.930381808859073400e-01,1.175877625257391035e+00,1.164486716660129373e+00
9.819354565210256514e-01,9.522011460434511854e-01,1.000000000000000000e+00,9.948065792125225792e-01,9.408233670370464985e-01,1.385231881765666140e+00,0.000000000000000000e+00,9.669286223437945083e-01,1.522887980834941812e+00,9.107239737220158560e-01,9.701771414081756806e-01,7.872487969797477003e-01,5.075310554707348487e-01,9.785424178707238241e-01,1.589641715153096602e+00,8.101718235825801084e-01,9.167750790930371263e-01,1.379377201795449537e+00
1.000000000000000000e+00,7.979810322020823854e-01,1.000000000000000000e+00,9.144920370931333142e-01,9.888719586532757067e-01,8.812460531268411223e-01,9.669286223437945083e-01,0.000000000000000000e+00,1.129836612918203365e+00,9.908707271501062674e-01,8.076386077683930242e-01,1.304034639191205214e+00,9.924717791926971344e-01,9.930101200251542082e-01,1.107621139869420457e+00,9.715211717739891117e-01,1.000000000000000000e+00,1.285772399524117926e+00
1.143734995266697307e+00,1.076210069498502397e+00,1.104258215946986921e+00,1.283504423328973854e+00,1.107318787757446632e+00,1.206550224397038962e+00,1.522887980834941812e+00,1.129836612918203365e+00,0.000000000000000000e+00,1.171714219065869811e+00,1.158154580433019554e+00,1.089496054975057859e+00,1.202879608740995199e+00,1.128560430227262268e+00,1.171700587047309616e+00,1.104645512888187797e+00,1.030943786332515932e+00,1.192298669737670291e+00
9.976238437642971357e-01,9.574580635907796733e-01,8.904324759437308723e-01,9.992944319884839999e-01,9.873647920534339706e-01,1.062329385887108790e+00,9.107239737220158560e-01,9.908707271501062674e-01,1.171714219065869811e+00,1.110223024625156540e-16,9.930932327471274634e-01,1.065303234471878024e+00,9.983833235577658227e-01,8.719882759420217733e-01,1.001846554647046972e+00,1.000000000000000000e+00,9.214922750958953745e-01,1.209270400377126187e+00
