# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,8.307153652031010749e-01,9.339849112688349830e-01,9.796132186782217088e-01,9.843626111416834412e-01,1.000000000000000000e+00,2.205434866674566008e-01,9.889266610563741677e-01,9.195035372600876000e-01,1.000000000000000000e+00,8.482479099561869296e-01,5.682136935285015955e-01,5.308649865815723290e-01,7.366227096763260374e-01,1.170649856732066674e+00,9.059357275298963730e-01,8.760421094537853559e-01,4.740558715919271915e-01
8.307153652031010749e-01,1.110223024625156540e-16,9.522850965950602209e-01,9.038189658414998995e-01,6.375699925476691066e-01,8.863126272274335360e-01,9.066287742608534206e-01,8.118049335729757843e-01,9.563029944972464280e-01,8.010230286882361606e-01,7.920830680996251427e-01,9.055321796542741275e-01,6.888663673122845665e-01,9.163222312331725794e-01,9.542292892951196315e-01,8.567967715558796327e-01,9.721487231762935277e-01,9.117402779955585679e-01
9.339849112688349830e-01,9.522850965950602209e-01,-2.220446049250313081e-16,9.833774686274378007e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.294078651899155163e-01,9.996633666163103893e-01,9.698405408872415867e-01,9.768266152667868241e-01,9.942733746931536887e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.814872722558201090e-01,9.756781218766888975e-01,9.308799057276426758e-01,9.803996166356250264e-01,1.000000000000000000e+00
9.796132186782217088e-01,9.038189658414998995e-01,9.833774686274378007e-01,0.000000000000000000e+00,9.539585382404864866e-01,9.490681661411285441e-01,1.000000000000000000e+00,9.201862286549050696e-01,9.658345894300608414e-01,9.042111792156740657e-01,1.000000000000000000e+00,9.323549789421093914e-01,6.517001807581159767e-01,8.425923110816263550e-01,1.229991591336174084e+00,9.700481240028784313e-01,8.843122426398193348e-01,9.503008073430754266e-01
9.843626111416834412e-01,6.375699925476691066e-01,1.000000000000000000e+00,9.539585382404864866e-01,0.000000000000000000e+00,9.976746044277791103e-01,1.000000000000000000e+00,8.839620178490631419e-01,9.804782181088316229e-01,8.993878917255794248e-01,1.000000000000000000e+00,9.763593384821818155e-01,9.532678441790325419e-01,1.000000000000000000e+00,1.191780423713712844e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.838657858073990292e-01
1.000000000000000000e+00,8.863126272274335360e-01,1.000000000000000000e+00,9.490681661411285441e-01,9.976746044277791103e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.938701703544964516e-01,8.659857906842192143e-01,9.683322320651225334e-01,9.873525486436905974e-01,9.158752842837553088e-01,9.199709283468479049e-01,8.296204328952487828e-01,7.791755915911988684e-01,8.172786801681310997e-01,6.696953738343516260e-01,9.186105456797243329e-01
2.205434866674566008e-01,9.066287742608534206e-01,7.294078651899155163e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.330669073875469621e-16,1.000000000000000000e+00,9.248837471720681158e-01,1.000000000000000000e+00,9.173241452346281299e-01,5.380890432391663980e-01,4.629976498623900039e-01,7.258954239162962452e-01,1.104467598576404530e+00,9.196025926313556864e-01,8.574167140373160079e-01,5.966615713706371338e-01
9.889266610563741677e-01,8.118049335729757843e-01,9.996633666163103893e-01,9.201862286549050696e-01,8.839620178490631419e-01,8.938701703544964516e-01,1.000000000000000000e+00,4.607382526871265371e-01,9.053261833136970749e-01,9.480060282565987428e-01,1.000000000000000000e+00,9.840965563830064156e-01,8.499394248212575054e-01,8.754621868698831966e-01,1.059617324431200380e+00,7.604726339341048025e-01,9.512457886086149728e-01,9.792957998725759783e-01
9.195035372600876000e-01,9.563029944972464280e-01,9.698405408872415867e-01,9.658345894300608414e-01,9.804782181088316229e-01,8.659857906842192143e-01,9.248837471720681158e-01,9.053261833136970749e-01,0.000000000000000000e+00,9.581895610259504314e-01,9.991801932459717372e-01,9.332453082404016387e-01,9.235159400742665170e-01,9.988032697724130715e-01,1.235869969833748971e+00,9.307747156941323929e-01,9.144662208458892438e-01,9.189956436985997623e-01
1.000000000000000000e+00,8.010230286882361606e-01,9.768266152667868241e-01,9.042111792156740657e-01,8.993878917255794248e-01,9.683322320651225334e-01,1.000000000000000000e+00,9.480060282565987428e-01,9.581895610259504314e-01,4.570487123384768258e-01,8.946294975573275687e-01,9.833460166518158685e-01,1.000000000000000000e+00,9.513014852733162607e-01,1.080748247304956999e+00,9.639465505052826622e-01,9.623468607755008009e-01,1.000000000000000000e+00
8.482479099561869296e-01,7.920830680996251427e-01,9.942733746931536887e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.873525486436905974e-01,9.173241452346281299e-01,1.000000000000000000e+00,9.991801932459717372e-01,8.946294975573275687e-01,-2.220446049250313081e-16,9.364130083914032898e-01,1.000000000000000000e+00,9.042028673311932607e-01,1.269648930778076723e+00,9.526804557658788974e-01,9.708099366914547668e-01,9.751516711639942603e-01
5.682136935285015955e-01,9.055321796542741275e-01,1.000000000000000000e+00,9.323549789421093914e-01,9.763593384821818155e-01,9.158752842837553088e-01,5.380890432391663980e-01,9.840965563830064156e-01,9.332453082404016387e-01,9.833460166518158685e-01,9.364130083914032898e-01,-4.440892098500626162e-16,2.767253647507823544e-01,7.973469849997104619e-01,1.044455222230949998e+00,6.723522784664655028e-01,9.026892615568467004e-01,4.865155720541824991e-02
5.308649865815723290e-01,6.888663673122845665e-01,1.000000000000000000e+00,6.517001807581159767e-01,9.532678441790325419e-01,9.199709283468479049e-01,4.629976498623900039e-01,8.499394248212575054e-01,9.235159400742665170e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.767253647507823544e-01,0.000000000000000000e+00,7.482298375902418641e-01,1.092138766915608628e+00,9.855789049859887685e-01,8.817039330898580607e-01,2.234776495498582705e-01
7.366227096763260374e-01,9.163222312331725794e-01,9.814872722558201090e-01,8.425923110816263550e-01,1.000000000000000000e+00,8.296204328952487828e-01,7.258954239162962452e-01,8.754621868698831966e-01,9.988032697724130715e-01,9.513014852733162607e-01,9.042028673311932607e-01,7.973469849997104619e-01,7.482298375902418641e-01,2.220446049250313081e-16,1.019384923914401275e+00,7.755903001962610732e-01,9.517932737651378927e-01,7.982702337074101262e-01
1.170649856732066674e+00,9.542292892951196315e-01,9.756781218766888975e-01,1.229991591336174084e+00,1.191780423713712844e+00,7.791755915911988684e-01,1.104467598576404530e+00,1.059617324431200380e+00,1.235869969833748971e+00,1.080748247304956999e+00,1.269648930778076723e+00,1.044455222230949998e+00,1.092138766915608628e+00,1.019384923914401275e+00,-2.220446049250313081e-16,1.084460798724244723e+00,1.014757751467353142e+00,1.081417873540841068e+00
