# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.440892098500626162e-16,9.883204936744919289e-01,4.528560863134978298e-01,9.537512712377995694e-01,9.950087313694523372e-01,1.000000000000000000e+00,8.605168470115740487e-01,9.606145721612183719e-01,1.000000000000000000e+00,9.935471625923038008e-01,1.000000000000000000e+00,8.890577587245406255e-01,8.109446842461377480e-01,6.262065040478073108e-01,1.000000000000000000e+00,3.052497672120142447e-01,1.000000000000000000e+00,1.046228964204536371e+00
9.883204936744919289e-01,0.000000000000000000e+00,9.898367326514807552e-01,9.602081293514844740e-01,5.407491762462095508e-01,8.495848328994116683e-01,9.047511998884368856e-01,3.091904722892061530e-01,8.567916873182050974e-01,9.697434160368687550e-01,8.962646219474775799e-01,8.345509441706395748e-01,1.195391697774736528e+00,9.856811618854303125e-01,8.496905565782061354e-01,9.713555111526098740e-01,8.785602948674372525e-01,1.036506813084551393e+00
4.528560863134978298e-01,9.898367326514807552e-01,0.000000000000000000e+00,9.829833756271468825e-01,1.000000000000000000e+00,9.961475283669554148e-01,8.775949051023936853e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.624510086451509849e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.175592571945774711e-01,7.319967697066208645e-01,9.719180883704623408e-01,6.136156132971926080e-01,9.508913174578911276e-01,8.601116818601974856e-01
9.537512712377995694e-01,9.602081293514844740e-01,9.829833756271468825e-01,4.052638946207994253e-01,9.122227580127749702e-01,8.767505607688659275e-01,9.686335307721930521e-01,9.826970143086148912e-01,8.849722489373761380e-01,9.643858161283836994e-01,8.428646150636134315e-01,8.860599934262675115e-01,1.312305634815194466e+00,9.308980275284033379e-01,9.147377876441276090e-01,9.186967517896009738e-01,8.986943647415576164e-01,1.048414810787098972e+00
9.950087313694523372e-01,5.407491762462095508e-01,1.000000000000000000e+00,9.122227580127749702e-01,0.000000000000000000e+00,8.364965465362426134e-01,9.147644496271867265e-01,5.396091304816785783e-01,1.000000000000000000e+00,9.860082733594457416e-01,9.996069986770733662e-01,9.457812765728317306e-01,1.080879863329067492e+00,7.499308849472272609e-01,8.389336238229702092e-01,9.284194533580129027e-01,8.554638327748946836e-01,9.794410396246344686e-01
1.000000000000000000e+00,8.495848328994116683e-01,9.961475283669554148e-01,8.767505607688659275e-01,8.364965465362426134e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.214841954821741066e-01,5.072943379407570674e-01,9.513399533734335778e-01,8.807526170162902623e-01,9.884264926009382890e-01,1.194623776581078101e+00,9.506731521102075311e-01,4.023234556009555041e-01,9.361219667301474701e-01,4.036111664545340982e-01,1.071163620826045992e+00
8.605168470115740487e-01,9.047511998884368856e-01,8.775949051023936853e-01,9.686335307721930521e-01,9.147644496271867265e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.379099621611141080e-01,9.936918921214363820e-01,9.951799509167976732e-01,9.548689805833804334e-01,9.766261698123672730e-01,1.082911505732031987e+00,9.138316100662383645e-01,1.000000000000000000e+00,8.144700125125361456e-01,9.790399257545520095e-01,9.134929460942987633e-01
9.606145721612183719e-01,3.091904722892061530e-01,1.000000000000000000e+00,9.826970143086148912e-01,5.396091304816785783e-01,8.214841954821741066e-01,9.379099621611141080e-01,1.110223024625156540e-16,9.745084343483573219e-01,9.307430142070186596e-01,9.170427744961346939e-01,8.646213435409770831e-01,1.232902214343265523e+00,1.000000000000000000e+00,8.707511126883652475e-01,9.328825882929706603e-01,8.281686573625729464e-01,1.082221400854423088e+00
1.000000000000000000e+00,8.567916873182050974e-01,1.000000000000000000e+00,8.849722489373761380e-01,1.000000000000000000e+00,5.072943379407570674e-01,9.936918921214363820e-01,9.745084343483573219e-01,2.220446049250313081e-16,9.233555777406312615e-01,8.293531887868210717e-01,8.619965679996178798e-01,1.266058967417834191e+00,9.756314091498567986e-01,4.089202777158377211e-01,9.393177874406368755e-01,4.378976191539311058e-01,1.053244381802775687e+00
9.935471625923038008e-01,9.697434160368687550e-01,9.624510086451509849e-01,9.643858161283835884e-01,9.860082733594457416e-01,9.513399533734335778e-01,9.951799509167976732e-01,9.307430142070186596e-01,9.233555777406312615e-01,3.762431380602290210e-01,9.927164061894551139e-01,9.728044781886024950e-01,1.256478591885840101e+00,9.759466190276588904e-01,9.190694197071932470e-01,9.913599103707956273e-01,8.735228881688440472e-01,1.099881571526991397e+00
1.000000000000000000e+00,8.962646219474775799e-01,1.000000000000000000e+00,8.428646150636134315e-01,9.996069986770733662e-01,8.807526170162902623e-01,9.548689805833804334e-01,9.170427744961346939e-01,8.293531887868210717e-01,9.927164061894551139e-01,0.000000000000000000e+00,9.960843436845852050e-01,1.184247913379084416e+00,9.610182906099935529e-01,8.987374463448195572e-01,9.905560757885697454e-01,8.689417255038889287e-01,1.058885846501123495e+00
