# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,9.628488721145755935e-01,8.344802881246894399e-01,9.705255252700868418e-01,7.634165779104705729e-01,9.542554575063446620e-01,1.000000000000000000e+00,9.428186028195157942e-01,9.501704662129550893e-01,8.682458621004076615e-01,9.383051991583237772e-01,9.178466455817564373e-01,7.330073987790222123e-01,9.406105879803557945e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.790470228246580975e-01
9.628488721145755935e-01,0.000000000000000000e+00,9.970733150804738099e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.871607285599373283e-01,9.205065404144603392e-01,7.137345584047768421e-01,1.000000000000000000e+00,9.497796684728067040e-01,8.099844880728985785e-01,9.831635616402082389e-01,9.732525514184821036e-01,9.670641850886246838e-01,1.000000000000000000e+00,9.595774484063448462e-01,1.000000000000000000e+00,9.816443791284483744e-01
8.344802881246894399e-01,9.970733150804738099e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.439630304479691425e-01,9.962094131989098766e-01,1.000000000000000000e+00,7.746586585825682159e-01,9.650055785840573330e-01,9.465177979623410343e-01,8.398219841840877109e-01,8.001059508899159844e-01,1.000000000000000000e+00,9.625503663054318926e-01,9.634842046598234289e-01,9.594326629383210792e-01,8.407112229800488556e-01
9.705255252700868418e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.810488089362303876e-01,9.412792684343402883e-01,9.867918229722583146e-01,9.482868676397273600e-01,9.635613224499250951e-01,9.431118856484135282e-01,8.324242668340301465e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.856991743273379125e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.807920084310873809e-01,9.425341394607158474e-01
7.634165779104705729e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.810488089362303876e-01,1.110223024625156540e-16,9.444391376250975689e-01,7.527060608533344688e-01,9.113822940571566500e-01,1.000000000000000000e+00,9.053062365502484443e-01,6.856802485220412358e-01,9.156395946796157537e-01,8.049633822235909841e-01,9.627378574654938959e-01,9.607987074802400995e-01,6.262241942832738051e-01,9.886317824451418268e-01,8.848746210389677458e-01
9.542554575063446620e-01,8.871607285599373283e-01,9.439630304479691425e-01,9.412792684343402883e-01,9.444391376250975689e-01,-2.220446049250313081e-16,8.634298308783365794e-01,9.870261557579921297e-01,9.829113548848040782e-01,9.645042787169061382e-01,8.983844926961978006e-01,9.811091925447730233e-01,9.920306664393935270e-01,9.867013422709675075e-01,1.000000000000000000e+00,8.259837997383979724e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.205065404144603392e-01,9.962094131989098766e-01,9.867918229722583146e-01,7.527060608533344688e-01,8.634298308783365794e-01,3.330669073875469621e-16,9.422537706491491694e-01,9.123485181885994111e-01,9.580161086479914712e-01,1.000000000000000000e+00,9.242187454213730557e-01,9.573228530622689414e-01,9.293989992931015465e-01,8.554882408671932170e-01,6.641654737764014493e-01,8.967806966658670165e-01,9.143546553755430573e-01
9.428186028195157942e-01,7.137345584047768421e-01,1.000000000000000000e+00,9.482868676397273600e-01,9.113822940571566500e-01,9.870261557579921297e-01,9.422537706491491694e-01,4.999999999999999445e-01,9.829702732713085922e-01,9.701033946129573593e-01,9.472014245681832367e-01,9.763419549765238736e-01,9.786221239702047603e-01,9.234487747006107083e-01,1.000000000000000000e+00,9.381101519496199970e-01,1.000000000000000000e+00,7.842352983783624776e-01
9.501704662129550893e-01,1.000000000000000000e+00,7.746586585825682159e-01,9.635613224499250951e-01,1.000000000000000000e+00,9.829113548848040782e-01,9.123485181885994111e-01,9.829702732713085922e-01,2.220446049250313081e-16,9.317719184238347774e-01,9.605266450198787220e-01,9.809665727211027697e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.074620985169632892e-01,9.586139682616423574e-01,7.861274448595567677e-01,9.817137126941125613e-01
8.682458621004076615e-01,9.497796684728067040e-01,9.650055785840573330e-01,9.431118856484135282e-01,9.053062365502484443e-01,9.645042787169061382e-01,9.580161086479914712e-01,9.701033946129573593e-01,9.317719184238347774e-01,1.110223024625156540e-16,9.797291857510972424e-01,9.146716916039205891e-01,8.751671695153439012e-01,9.095824057985893996e-01,9.762693562575934791e-01,9.564502935010771312e-01,9.659233470795349774e-01,9.115565285811245699e-01
9.383051991583237772e-01,8.099844880728985785e-01,9.465177979623410343e-01,8.324242668340301465e-01,6.856802485220412358e-01,8.983844926961978006e-01,1.000000000000000000e+00,9.472014245681832367e-01,9.605266450198787220e-01,9.797291857510972424e-01,1.110223024625156540e-16,9.561675176232257156e-01,9.687548612320420194e-01,9.492486861875889526e-01,9.726956885752314763e-01,8.308852831944560924e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.178466455817564373e-01,9.831635616402082389e-01,8.398219841840877109e-01,1.000000000000000000e+00,9.156395946796157537e-01,9.811091925447730233e-01,9.242187454213730557e-01,9.763419549765238736e-01,9.809665727211027697e-01,9.146716916039205891e-01,9.561675176232257156e-01,1.110223024625156540e-16,2.837549375097423443e-01,1.000000000000000000e+00,9.672689268297768317e-01,9.553515490805266630e-01,9.643878581685365603e-01,4.997462364788734512e-01
7.330073987790222123e-01,9.732525514184821036e-01,8.001059508899159844e-01,1.000000000000000000e+00,8.049633822235909841e-01,9.920306664393935270e-01,9.573228530622689414e-01,9.786221239702047603e-01,1.000000000000000000e+00,8.751671695153439012e-01,9.687548612320420194e-01,2.837549375097423443e-01,0.000000000000000000e+00,9.774863068883218320e-01,9.980597697627116016e-01,9.576079093472316117e-01,1.000000000000000000e+00,6.453550976414393903e-01
9.406105879803557945e-01,9.670641850886246838e-01,1.000000000000000000e+00,8.856991743273379125e-01,9.627378574654938959e-01,9.867013422709675075e-01,9.293989992931015465e-01,9.234487747006107083e-01,1.000000000000000000e+00,9.095824057985893996e-01,9.492486861875889526e-01,1.000000000000000000e+00,9.774863068883218320e-01,3.330669073875469621e-16,1.000000000000000000e+00,9.040321985947374905e-01,1.000000000000000000e+00,9.334092684718329203e-01
