# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.741221333178267106e-01,1.000000000000000000e+00,nan,9.815955447446024218e-01,9.688482584401886255e-01,5.518254900926643503e-01,9.266632256924443034e-01,7.554391915089273546e-01,9.948945607980106409e-01,nan,9.778317844676875925e-01,9.644668321413101264e-01,9.535070918170779342e-01,1.212461695273713502e+00,8.926781692925530587e-01,8.469925735855368121e-01,9.704866086012480242e-01
9.741221333178267106e-01,8.257557842842101481e-01,1.062809890463040308e+00,nan,1.134112048504106296e+00,1.097052275593452864e+00,1.038030228879926353e+00,1.065376414156357532e+00,1.083254429024292032e+00,1.137531803015488174e+00,nan,1.163889861742655629e+00,1.132757535795374526e+00,9.673516284975562929e-01,1.180936385628086338e+00,9.556766617332271840e-01,9.721500522253876397e-01,1.116163547238851805e+00
1.000000000000000000e+00,1.062809890463040308e+00,0.000000000000000000e+00,nan,9.294006138528816408e-01,1.000000000000000000e+00,9.652225706235683100e-01,9.442950216512310257e-01,1.000000000000000000e+00,9.605362111627764321e-01,nan,8.351735035918494976e-01,1.000000000000000000e+00,9.877381860556162518e-01,1.132800360519120586e+00,8.373090286354092360e-01,9.079994863872976607e-01,9.426766731665687793e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.815955447446024218e-01,1.134112048504106296e+00,9.294006138528816408e-01,nan,0.000000000000000000e+00,1.000000000000000000e+00,9.864628409469963222e-01,8.391874805129589943e-01,1.000000000000000000e+00,9.412899543041698402e-01,nan,7.015210356809843395e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.224711399067740292e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.688482584401886255e-01,1.097052275593452864e+00,1.000000000000000000e+00,nan,1.000000000000000000e+00,-2.220446049250313081e-16,9.481847286464564206e-01,1.000000000000000000e+00,9.338662503893869760e-01,8.896788961077516378e-01,nan,9.531949560392538601e-01,9.531344511565233990e-01,9.627039120154506913e-01,1.136787949978185441e+00,9.019359068915373534e-01,9.319173022311781907e-01,9.936472765262573947e-01
5.518254900926643503e-01,1.038030228879926353e+00,9.652225706235683100e-01,nan,9.864628409469963222e-01,9.481847286464564206e-01,5.503648363342882321e-01,9.624964201327482760e-01,8.605667355504360572e-01,9.831024078959872403e-01,nan,9.784891425569696155e-01,9.236919415889249807e-01,9.379080022842597453e-01,1.165109547183198035e+00,8.323277541321038031e-01,8.760153860969851491e-01,9.667286467966968999e-01
9.266632256924443034e-01,1.065376414156357532e+00,9.442950216512310257e-01,nan,8.391874805129589943e-01,1.000000000000000000e+00,9.624964201327482760e-01,-2.220446049250313081e-16,1.000000000000000000e+00,8.932567128328603445e-01,nan,9.585921555143034345e-01,8.766725298289596013e-01,1.000000000000000000e+00,1.349698083980774843e+00,9.284199687075894714e-01,9.886923052601197526e-01,7.709677249834820945e-01
7.554391915089273546e-01,1.083254429024292032e+00,1.000000000000000000e+00,nan,1.000000000000000000e+00,9.338662503893869760e-01,8.605667355504360572e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.798536579904714161e-01,nan,9.763793922828264416e-01,9.370826555865752194e-01,9.759090491508051191e-01,7.674439876758912815e-01,9.320990473022812139e-01,9.352061663563162597e-01,9.841207789585002530e-01
9.948945607980106409e-01,1.137531803015488396e+00,9.605362111627764321e-01,nan,9.412899543041698402e-01,8.896788961077516378e-01,9.831024078959872403e-01,8.932567128328603445e-01,9.798536579904714161e-01,4.639211738720961931e-01,nan,9.047097710897882283e-01,9.501592605007729286e-01,9.881424439397097359e-01,1.248835499127360471e+00,9.604790924149182452e-01,9.997837161380784821e-01,9.484905567121340031e-01
