# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.565074932976110889e-01,9.456779448761988283e-01,9.782121659819715820e-01,9.140918099087944615e-01,1.000000000000000000e+00,9.128936485328462691e-01,6.123597508135611989e-01,9.913629255567824039e-01,9.486768940242484849e-01,9.882715830080043284e-01,9.600334937121729473e-01,9.197058094498802294e-01,8.418712508121386495e-01,9.664456895184552199e-01,9.891563259121267659e-01,7.159098487220448837e-01,7.517387907832159266e-01,1.000000000000000000e+00
9.456779448761988283e-01,-2.220446049250313081e-16,8.586095840124581269e-01,9.743639525083749309e-01,8.105805152834055782e-01,7.409914076844240638e-01,8.086287310207973533e-01,9.509980165615659065e-01,6.778221342000831928e-01,9.534890600666912075e-01,9.750907655511991123e-01,8.749422620629851988e-01,8.691876092289171352e-01,9.221772215440050546e-01,8.932804467846618968e-01,8.319736707438639689e-01,8.685762691251552869e-01,8.420380500708843918e-01
9.782121659819715820e-01,8.586095840124581269e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.903754074063401136e-01,1.000000000000000000e+00,9.058992464153815538e-01,1.000000000000000000e+00,9.103771739170378741e-01,9.618155483180824694e-01,9.262457640229652123e-01,1.000000000000000000e+00,8.296605103976110174e-01,1.000000000000000000e+00,9.780767437375447182e-01,8.314263260587561044e-01,8.776746206567175301e-01,1.000000000000000000e+00
9.140918099087944615e-01,9.743639525083749309e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.735461830661531479e-01,9.841004153198639193e-01,1.000000000000000000e+00,9.688800601458539274e-01,8.572757671506189281e-01,6.875506736031187227e-01,9.515537508128157906e-01,1.000000000000000000e+00,9.498121748093180106e-01,9.752758380189661125e-01,9.572524668577618856e-01,9.647065859455485892e-01,9.736826940466341007e-01
1.000000000000000000e+00,8.105805152834055782e-01,9.903754074063401136e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.592497805503580333e-01,8.863267332464298542e-01,1.000000000000000000e+00,9.301683887480667323e-01,9.986308477588061727e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.515244917245051504e-01,9.858103219740279588e-01,9.788169280155802898e-01,8.558334389707265011e-01,8.953125618306014832e-01,1.000000000000000000e+00
9.128936485328462691e-01,7.409914076844240638e-01,1.000000000000000000e+00,9.735461830661531479e-01,9.592497805503580333e-01,0.000000000000000000e+00,7.695422487998925254e-01,9.799481275414980708e-01,4.267757753111440788e-01,9.893267053712315739e-01,9.928149870820833778e-01,9.072090443047620134e-01,9.484211103571589252e-01,9.813662151862065919e-01,1.000000000000000000e+00,8.374939133136596325e-01,8.360104493323291530e-01,9.775699412853048331e-01
6.123597508135611989e-01,8.086287310207973533e-01,9.058992464153815538e-01,9.841004153198639193e-01,8.863267332464298542e-01,7.695422487998925254e-01,2.220446049250313081e-16,9.860597690107760771e-01,7.069073572875858025e-01,9.646755614172445314e-01,9.493945599505316801e-01,9.619061539276171358e-01,5.613160031614417012e-01,9.182393114354741037e-01,9.749707157043627781e-01,6.738427014332490916e-01,7.940607411731058773e-01,1.000000000000000000e+00
9.913629255567824039e-01,9.509980165615659065e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.799481275414980708e-01,9.860597690107760771e-01,4.729202861920822620e-01,9.285776675797337010e-01,9.621334664053287078e-01,8.417359184542940742e-01,9.713380370476834003e-01,9.489808100894419063e-01,8.836121595837864717e-01,8.463422992297675584e-01,9.432382940081862621e-01,9.520865874447057564e-01,8.120202687949490405e-01
9.486768940242484849e-01,6.778221342000831928e-01,9.103771739170378741e-01,9.688800601458539274e-01,9.301683887480667323e-01,4.267757753111440788e-01,7.069073572875858025e-01,9.285776675797337010e-01,-2.220446049250313081e-16,9.589206565606367416e-01,9.682288467797862674e-01,8.681977272473029306e-01,8.202380726205484862e-01,9.125121539464275955e-01,1.000000000000000000e+00,8.386024316056737149e-01,8.193917606057040670e-01,8.183411621774231426e-01
9.882715830080042174e-01,9.534890600666912075e-01,9.618155483180824694e-01,8.572757671506189281e-01,9.986308477588061727e-01,9.893267053712315739e-01,9.646755614172445314e-01,9.621334664053287078e-01,9.589206565606367416e-01,2.975246801764891424e-01,9.578098724443713241e-01,7.860570823418688846e-01,1.000000000000000000e+00,9.795156995925633492e-01,9.421737659655120556e-01,9.542706792091983914e-01,8.901327989369642868e-01,9.707785307999461377e-01
