# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.324863138381428440e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.765530114857353672e-01,1.000000000000000000e+00,9.274322720723766622e-01,1.000000000000000000e+00,8.967782774711133831e-01,9.885623929730525949e-01,8.530671920663753793e-01,9.843699428679335561e-01,1.000000000000000000e+00,9.948458820724623841e-01,9.372902430222113113e-01,2.537974459882503808e-01,1.000000000000000000e+00,9.890988732577108422e-01
9.324863138381428440e-01,3.262117656099508545e-01,9.570670341658925606e-01,9.465538740436830745e-01,8.791698522463048393e-01,9.811099238519744858e-01,9.393512760953616203e-01,9.476656810669483733e-01,9.787787747291369911e-01,9.496116207626448258e-01,8.615405033341599905e-01,9.155965042899584239e-01,9.663385589844222245e-01,8.605045046095192163e-01,9.704672030935515004e-01,8.788960874940491275e-01,9.704194910999582868e-01,9.193062379670587925e-01
1.000000000000000000e+00,9.570670341658925606e-01,1.110223024625156540e-16,9.202257585915462057e-01,8.705666394096452931e-01,9.909595952499491434e-01,9.380893502303071507e-01,9.997960380781046874e-01,9.632524028923027393e-01,8.861960304101137442e-01,7.248352738324335132e-01,9.318791770236403149e-01,1.000000000000000000e+00,9.270903706091295771e-01,1.000000000000000000e+00,8.985494528810795689e-01,9.275271686725438114e-01,8.494375339957318527e-01
1.000000000000000000e+00,9.465538740436830745e-01,9.202257585915462057e-01,0.000000000000000000e+00,9.225121601162495910e-01,7.732749645868969290e-01,9.172077049007356653e-01,9.366644372960670761e-01,9.673262450798777445e-01,9.549168415944910837e-01,9.340510429209758492e-01,9.394943339395975812e-01,9.253989613921225210e-01,9.465591343470723951e-01,9.256374019920942109e-01,9.847649630938386522e-01,9.883625602645004227e-01,9.282058590544643994e-01
9.765530114857353672e-01,8.791698522463048393e-01,8.705666394096452931e-01,9.225121601162495910e-01,0.000000000000000000e+00,9.173856173009333759e-01,8.412172553858590085e-01,8.613087197357395253e-01,9.573956018911390364e-01,9.775169549703456306e-01,9.355595099198850129e-01,9.286101377866906592e-01,8.721852737080419971e-01,9.325139390925510918e-01,9.673280443834065823e-01,6.044543694246399257e-01,9.898658796035447738e-01,8.436849938491232104e-01
1.000000000000000000e+00,9.811099238519744858e-01,9.909595952499491434e-01,7.732749645868969290e-01,9.173856173009333759e-01,1.110223024625156540e-16,8.670531506715799530e-01,9.141684847286991600e-01,1.000000000000000000e+00,9.774950862495604964e-01,8.667981474537160835e-01,8.667447927652873751e-01,1.000000000000000000e+00,9.775916522952885490e-01,9.937389098049999037e-01,9.453666569732955827e-01,8.678186027873761033e-01,8.015361591424368104e-01
9.274322720723766622e-01,9.393512760953616203e-01,9.380893502303071507e-01,9.172077049007356653e-01,8.412172553858590085e-01,8.670531506715799530e-01,0.000000000000000000e+00,8.760664298057369015e-01,9.702768947890114681e-01,9.700567522546531540e-01,8.800564172472664648e-01,9.276980286407437992e-01,6.421306375297632929e-01,8.197039160780631439e-01,9.900712845401496986e-01,8.165173810887715877e-01,9.602348333110231060e-01,9.314548567544176372e-01
1.000000000000000000e+00,9.476656810669483733e-01,9.997960380781046874e-01,9.366644372960670761e-01,8.613087197357395253e-01,9.141684847286991600e-01,8.760664298057369015e-01,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.154797407932439013e-01,1.000000000000000000e+00,9.685662160461365744e-01,9.663126569820623679e-01,9.944329318082204550e-01,9.428279531721012185e-01,6.965310462090484878e-01
8.967782774711133831e-01,9.787787747291369911e-01,9.632524028923027393e-01,9.673262450798777445e-01,9.573956018911390364e-01,1.000000000000000000e+00,9.702768947890114681e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.809809758950573944e-01,8.504768649981062634e-01,9.571939296858533730e-01,1.000000000000000000e+00,8.761711009127705063e-01,1.000000000000000000e+00,9.039829008073185790e-01,7.615952083608366063e-01,8.962762027541631982e-01
9.885623929730525949e-01,9.496116207626448258e-01,8.861960304101137442e-01,9.549168415944910837e-01,9.775169549703456306e-01,9.774950862495604964e-01,9.700567522546531540e-01,1.000000000000000000e+00,9.809809758950573944e-01,2.220446049250313081e-16,6.717869818912025615e-01,9.239623674625259131e-01,9.791735698703580848e-01,1.000000000000000000e+00,9.838616383875949944e-01,9.819779638353772766e-01,9.453564987106630735e-01,9.375521984954244825e-01
