# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
6.666666666666666297e-01,9.326832041261227113e-01,1.142407870438776785e+00,9.739727399031100630e-01,9.490777864439730038e-01,9.765218117858255331e-01,8.370642043064099314e-01,9.394684015097246599e-01,1.119808669321043171e+00,1.030353542084832874e+00,9.905740013677380995e-01,1.098337330322748606e+00,1.078355142647635434e+00,9.095423454674573804e-01,9.230705932257808888e-01,7.451833506927881823e-01,9.297757433373924352e-01,1.080421764365681270e+00
9.326832041261227113e-01,0.000000000000000000e+00,1.211070434324087453e+00,9.646043790173924881e-01,7.773884053331587829e-01,5.925477096634762519e-01,6.255209942159120073e-01,7.922520823798322454e-01,1.181076477458332663e+00,9.172362578813982870e-01,9.365016818228802942e-01,1.034821691012764333e+00,1.026949126411527580e+00,9.159069494902122299e-01,4.357321339418700479e-01,9.692954466514720480e-01,9.195173360810366958e-01,9.291733898097229716e-01
1.142407870438776785e+00,1.211070434324087453e+00,1.110223024625156540e-16,1.168183410113715404e+00,1.244468671418774264e+00,1.208901413572462724e+00,1.287487383747425440e+00,1.288091534936783411e+00,1.127685663848012165e+00,1.275666640207996361e+00,1.395001135612960574e+00,1.071906433261342606e+00,7.834679101248429589e-01,1.187641990286329774e+00,1.110998151914008414e+00,1.187083324142076179e+00,1.180475997489425000e+00,1.274607830438989398e+00
9.739727399031100630e-01,9.646043790173924881e-01,1.168183410113715404e+00,2.220446049250313081e-16,1.000000000000000000e+00,9.750739099295107071e-01,9.444173306876181284e-01,9.712948164116741445e-01,1.273995662171952814e+00,1.040323643099018813e+00,9.557775468671430019e-01,1.175640033056970069e+00,1.265097849719211132e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.177892933998798242e+00
9.490777864439730038e-01,7.773884053331587829e-01,1.244468671418774264e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.074564807516342091e-01,9.473014061982324430e-01,8.968526534480936174e-01,1.219540248247817260e+00,1.056023705804385981e+00,8.959652868682381754e-01,1.079917328669849574e+00,1.224787070308320569e+00,9.147016779800082320e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.841275163004374882e-01,1.086542442865236380e+00
9.765218117858255331e-01,5.925477096634762519e-01,1.208901413572462724e+00,9.750739099295107071e-01,9.074564807516342091e-01,-2.220446049250313081e-16,8.585837057369031244e-01,9.258230412896018002e-01,1.163411387137522013e+00,1.063298141514987805e+00,9.692746171008084222e-01,1.075904124565709274e+00,1.087389435006141714e+00,9.640289914079308575e-01,6.943183505529215704e-01,9.404031028168727824e-01,9.652967552162374787e-01,1.044818809266081949e+00
8.370642043064099314e-01,6.255209942159120073e-01,1.287487383747425440e+00,9.444173306876181284e-01,9.473014061982324430e-01,8.585837057369031244e-01,3.330669073875469621e-16,8.696937456725671867e-01,9.572212838299336557e-01,9.352825806843432233e-01,9.448777995040951172e-01,9.902118796894487929e-01,9.416116764457864718e-01,9.110912852744981194e-01,8.176183752526196002e-01,7.185388913791485033e-01,9.823924204047812525e-01,9.865396463086222312e-01
9.394684015097246599e-01,7.922520823798322454e-01,1.288091534936783411e+00,9.712948164116741445e-01,8.968526534480936174e-01,9.258230412896018002e-01,8.696937456725671867e-01,5.000000000000002220e-01,1.202779900239177246e+00,9.871786829691832077e-01,9.549803546734769721e-01,9.729542869802860761e-01,1.180033618549936936e+00,9.199718884013186049e-01,9.400893101187948186e-01,8.517069804835250002e-01,9.629550642411128791e-01,1.022315288290904567e+00
1.119808669321043171e+00,1.181076477458332663e+00,1.127685663848012165e+00,1.273995662171952814e+00,1.219540248247817260e+00,1.163411387137522013e+00,9.572212838299336557e-01,1.202779900239177246e+00,1.110223024625156540e-16,1.221902668638498168e+00,1.121852691914332345e+00,1.227981752693130257e+00,1.007566199719221123e+00,1.137134467689322470e+00,9.212005724743783652e-01,1.139903115071047690e+00,1.134745447831203347e+00,1.242246515066766754e+00
1.030353542084832874e+00,9.172362578813982870e-01,1.275666640207996361e+00,1.040323643099018813e+00,1.056023705804385981e+00,1.063298141514987805e+00,9.352825806843432233e-01,9.871786829691832077e-01,1.221902668638498168e+00,6.753010709818129120e-01,8.393874518015915775e-01,1.208890668612609964e+00,1.181870762277247300e+00,1.003757156742443923e+00,9.597527936227446821e-01,9.941327727570200556e-01,1.019677722680810916e+00,1.126736204053228718e+00
