# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.618722586775924288e-01,1.000000000000000000e+00,9.498358936294061250e-01,1.000000000000000000e+00,9.540169007298886505e-01,1.174267288394244657e+00,1.000000000000000000e+00,9.816212362069338671e-01,9.658847383798092601e-01,9.747637440129947040e-01,8.561963901783713471e-01,9.629598131600944910e-01,8.245475755575544241e-01,9.036767344761984511e-01,7.795541634207581172e-01,1.246055097718839155e+00,8.631958649620452562e-01
8.618722586775924288e-01,0.000000000000000000e+00,9.583407382209085945e-01,9.221097018763565467e-01,6.507503441340196648e-01,8.147972965667265033e-01,9.501152377382031666e-01,7.151902180050471181e-01,9.356362071899235744e-01,9.210126007604023668e-01,8.878642267458443094e-01,8.709038121724880233e-01,8.439131216190018936e-01,8.913306574474619826e-01,9.751022209320586720e-01,8.481836418491840446e-01,1.027126419558015424e+00,8.673419483811739550e-01
1.000000000000000000e+00,9.583407382209085945e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.870349961625032531e-01,8.024487904650901005e-01,9.713640801607067443e-01,1.000000000000000000e+00,9.611597738264731072e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.416394348239872869e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.133221280894152194e-01,1.155032010525694819e+00,1.000000000000000000e+00
9.498358936294061250e-01,9.221097018763565467e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.801786801875460586e-01,1.308625955551629527e+00,1.000000000000000000e+00,9.443102488932106908e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.459926375521525710e-01,9.434584904683598339e-01,9.754748133697527246e-01,9.676536020575513541e-01,9.751644638000348531e-01,1.233124862085141604e+00,9.579521230615810623e-01
1.000000000000000000e+00,6.507503441340196648e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.586978665841999758e-01,1.146783517752975934e+00,5.698197014008246075e-01,9.916688932859518690e-01,9.794116575373376099e-01,1.000000000000000000e+00,8.427052920376332246e-01,8.441807436410514454e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.095869519496958766e+00,8.574729376068636055e-01
9.540169007298886505e-01,8.147972965667265033e-01,8.870349961625032531e-01,9.801786801875460586e-01,9.586978665841999758e-01,1.110223024625156540e-16,1.045759962323680847e+00,5.671680468439197487e-01,9.163708926065277094e-01,8.346231275745326084e-01,9.875497839182693083e-01,8.458858952865120351e-01,9.846642799158676906e-01,9.933039537030976529e-01,9.686791437933552906e-01,9.578282904574104695e-01,1.144181414059933566e+00,8.320824176097341152e-01
1.174267288394244657e+00,9.501152377382031666e-01,8.024487904650901005e-01,1.308625955551629527e+00,1.146783517752975934e+00,1.045759962323680847e+00,0.000000000000000000e+00,1.233021195890040111e+00,1.371288346921985424e+00,9.407300755345674448e-01,1.060798076790865796e+00,1.150338355405430057e+00,1.062156042362511821e+00,1.058413294756273881e+00,1.238964503879336876e+00,1.011921468175183580e+00,1.308178601454710988e+00,1.127141131973431465e+00
1.000000000000000000e+00,7.151902180050471181e-01,9.713640801607067443e-01,1.000000000000000000e+00,5.698197014008246075e-01,5.671680468439197487e-01,1.233021195890040111e+00,0.000000000000000000e+00,9.601396642471272669e-01,9.788251805421682716e-01,1.000000000000000000e+00,8.720271932878677079e-01,8.392681327375266509e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.034888803477672647e+00,8.514215155940625390e-01
9.816212362069338671e-01,9.356362071899235744e-01,1.000000000000000000e+00,9.443102488932106908e-01,9.916688932859518690e-01,9.163708926065277094e-01,1.371288346921985424e+00,9.601396642471272669e-01,1.110223024625156540e-16,9.751697059462990369e-01,9.715366519475120421e-01,9.430666250712573806e-01,9.433657744836211334e-01,9.820401708582047196e-01,9.740563576851699601e-01,9.806625278236594800e-01,1.356743757506859049e+00,9.411205455376580042e-01
9.658847383798092601e-01,9.210126007604023668e-01,9.611597738264731072e-01,1.000000000000000000e+00,9.794116575373376099e-01,8.346231275745326084e-01,9.407300755345674448e-01,9.788251805421682716e-01,9.751697059462990369e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.687440611684424718e-01,9.742618143036961831e-01,9.523617716866047411e-01,9.895390189985516782e-01,9.864849915624409604e-01,1.166288605211199370e+00,9.731856938680715219e-01
9.747637440129947040e-01,8.878642267458443094e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.875497839182693083e-01,1.060798076790865796e+00,1.000000000000000000e+00,9.715366519475120421e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.838688476160943885e-01,9.823191472831949156e-01,9.692163384706904417e-01,9.295984048247305509e-01,9.136389873570995857e-01,1.167628059794939999e+00,9.813275878643340500e-01
