# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.190932787259580294e-01,2.870615232469385658e-01,5.586480408826584032e-01,1.000000000000000000e+00,8.382522572048821674e-01,1.956581972633083533e-01,9.155981315494654549e-01,9.611115270323769000e-01,1.000000000000000000e+00,5.203928317773346413e-01,9.163078747382442657e-01,1.000000000000000000e+00,6.690945101211149826e-01,8.690953366967002491e-01,1.000000000000000000e+00,9.983201401088803717e-01,9.232986542683540021e-01
9.190932787259580294e-01,0.000000000000000000e+00,9.316108440076774633e-01,9.878048460535657771e-01,7.199725292906207219e-01,9.658562529374875583e-01,1.000000000000000000e+00,8.723795627643455841e-01,8.585130956511306533e-01,7.444858550893791449e-01,1.000000000000000000e+00,8.325690779433716493e-01,1.000000000000000000e+00,9.807410828680733772e-01,9.906922681650511819e-01,6.181582320861892521e-01,1.000000000000000000e+00,8.355827064618761568e-01
2.870615232469385658e-01,9.316108440076774633e-01,0.000000000000000000e+00,5.352294778532498132e-01,9.599983222872379152e-01,7.629128407176561932e-01,3.645499661856298479e-01,8.557365573125554903e-01,9.145312028979091235e-01,9.628599864610928316e-01,3.984677782629360010e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.066595808756813701e-01,8.027859852280537778e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.416792673386685797e-01
5.586480408826584032e-01,9.878048460535657771e-01,5.352294778532498132e-01,3.531141348133899349e-01,1.000000000000000000e+00,8.264134942828667008e-01,5.968595871601722891e-01,9.608017014035235004e-01,9.442285267015628758e-01,9.081096918966418130e-01,5.792182028767901558e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.726471060355347698e-01,9.225625424443449907e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.427324021257116327e-01
1.000000000000000000e+00,7.199725292906207219e-01,9.599983222872379152e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,7.568674549594955892e-01,9.792451416435847822e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.864984678496036441e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.234302123913766813e-01
8.382522572048821674e-01,9.658562529374875583e-01,7.629128407176561932e-01,8.264134942828667008e-01,1.000000000000000000e+00,-2.220446049250313081e-16,8.246085817941024576e-01,1.000000000000000000e+00,8.600011107306425595e-01,8.375989361712623538e-01,7.617077755811253459e-01,9.676585507840200773e-01,1.000000000000000000e+00,9.097366515511096097e-01,3.966820783160643904e-01,1.000000000000000000e+00,9.702078885892199134e-01,9.868317509466757453e-01
1.956581972633083533e-01,1.000000000000000000e+00,3.645499661856298479e-01,5.968595871601722891e-01,1.000000000000000000e+00,8.246085817941024576e-01,0.000000000000000000e+00,9.946718884168894714e-01,9.532967072083643467e-01,1.000000000000000000e+00,4.963770782519435487e-01,1.000000000000000000e+00,8.896529495450105074e-01,6.871908041041411286e-01,8.191212905036269198e-01,9.583917259218328599e-01,1.000000000000000000e+00,9.463841358353417554e-01
9.155981315494654549e-01,8.723795627643455841e-01,8.557365573125554903e-01,9.608017014035235004e-01,7.568674549594955892e-01,1.000000000000000000e+00,9.946718884168894714e-01,5.000000000000000000e-01,1.000000000000000000e+00,7.457930777360519681e-01,9.385869139909727155e-01,9.159211370388807838e-01,1.000000000000000000e+00,9.537628529327216720e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.895839937013036991e-01
9.611115270323769000e-01,8.585130956511306533e-01,9.145312028979091235e-01,9.442285267015628758e-01,9.792451416435847822e-01,8.600011107306425595e-01,9.532967072083643467e-01,1.000000000000000000e+00,0.000000000000000000e+00,7.716639416148358688e-01,9.096427980319052864e-01,8.893736378056267267e-01,9.716486485294364428e-01,9.624763836110111770e-01,6.026754784169441326e-01,9.359276682478037124e-01,8.323188690223821684e-01,8.722213906752918078e-01
1.000000000000000000e+00,7.444858550893791449e-01,9.628599864610928316e-01,9.081096918966418130e-01,1.000000000000000000e+00,8.375989361712623538e-01,1.000000000000000000e+00,7.457930777360519681e-01,7.716639416148358688e-01,0.000000000000000000e+00,9.469004156732374611e-01,8.619115602958423716e-01,1.000000000000000000e+00,9.814485808404928013e-01,8.349367408916317235e-01,1.000000000000000000e+00,5.419948567879464552e-01,7.909597277969183660e-01
