# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.966612860831443044e-01,1.000000000000000000e+00,9.473180829438113681e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.376182608271266261e-01,1.000000000000000000e+00,9.984432056629108931e-01,9.955471080623770064e-01,9.932924382095514870e-01,9.691337959176730132e-01,5.113580609264276600e-01,1.000000000000000000e+00,1.286328911610226777e+00,2.804848893997290982e-01,8.696106255606637081e-01,9.838421143481693720e-01
9.966612860831443044e-01,2.220446049250313081e-16,8.778982016983165604e-01,9.488006732982716684e-01,8.340851445328214542e-01,9.283513448743665464e-01,9.303629646012360199e-01,6.051165128129448734e-01,9.469530162386744498e-01,9.091337583499221608e-01,8.891892042399087703e-01,6.930607601471320267e-01,9.574138822117078673e-01,9.469252738911765332e-01,1.165931444792098315e+00,9.322390559960320733e-01,9.514639201793495538e-01,8.867350949344603439e-01
1.000000000000000000e+00,8.778982016983165604e-01,0.000000000000000000e+00,9.533494678826304192e-01,8.902050264659701062e-01,8.135693861266183324e-01,9.567538968563215063e-01,8.664502847133399577e-01,9.185716102395936611e-01,9.346397616225864402e-01,9.695516951513080128e-01,7.775401423510914789e-01,9.479728076028053341e-01,1.000000000000000000e+00,1.063172981451016241e+00,9.745236696789605357e-01,8.240470879992974895e-01,9.309567612688409710e-01
9.473180829438113681e-01,9.488006732982716684e-01,9.533494678826304192e-01,5.000000000000000000e-01,9.447423426563392734e-01,9.436063282127531426e-01,9.933334164245848363e-01,1.000000000000000000e+00,9.948791517989956645e-01,8.939111157147089370e-01,9.871464707228205793e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.816411923707799581e-01,1.215567648773578924e+00,9.309845761170230105e-01,9.432484808873879967e-01,7.859129347816686817e-01
1.000000000000000000e+00,8.340851445328214542e-01,8.902050264659701062e-01,9.447423426563392734e-01,0.000000000000000000e+00,9.292393149122959439e-01,9.092904300500646020e-01,8.899848740416698156e-01,9.475570030340683125e-01,8.714387147746925910e-01,9.494339226013457367e-01,9.416077307367241023e-01,9.517180254330761535e-01,8.444731140645305167e-01,1.197865589612773896e+00,9.539781173096749667e-01,8.156026503709727926e-01,9.503564067561631745e-01
1.000000000000000000e+00,9.283513448743665464e-01,8.135693861266183324e-01,9.436063282127531426e-01,9.292393149122959439e-01,-4.440892098500626162e-16,1.000000000000000000e+00,9.793087300074504453e-01,9.179913677714504061e-01,9.956403363552585040e-01,8.345382599681048230e-01,9.266874518949601569e-01,9.314021012888893392e-01,8.772076709740842526e-01,1.129001040138314593e+00,9.644534657624868057e-01,9.369739615775498631e-01,9.374257193905107810e-01
9.376182608271266261e-01,9.303629646012360199e-01,9.567538968563215063e-01,9.933334164245848363e-01,9.092904300500646020e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.501083479810935595e-01,9.734333380433346505e-01,9.838594157489352066e-01,8.806636170698778354e-01,9.566969115564358805e-01,9.570848655745221034e-01,1.243571452736219385e+00,8.839110005706163342e-01,9.302136830583608296e-01,9.640213685015160960e-01
1.000000000000000000e+00,6.051165128129448734e-01,8.664502847133399577e-01,1.000000000000000000e+00,8.899848740416698156e-01,9.793087300074504453e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.701358240979001124e-01,9.028699851705215274e-01,9.953898124777574852e-01,9.315339005480638424e-01,8.427284588639334384e-01,9.418965752414782955e-01,1.107526195430372118e+00,9.588465105923642540e-01,9.451130317264841985e-01,9.622109176664845887e-01
9.984432056629108931e-01,9.469530162386744498e-01,9.185716102395936611e-01,9.948791517989956645e-01,9.475570030340683125e-01,9.179913677714504061e-01,9.501083479810935595e-01,9.701358240979001124e-01,2.220446049250313081e-16,9.856381670211455948e-01,9.454615453308106154e-01,9.454054061068608572e-01,1.000000000000000000e+00,9.571447882319623623e-01,1.263904363773025175e+00,9.926359019861680233e-01,9.752069804048690838e-01,9.847293088287765173e-01
9.955471080623770064e-01,9.091337583499221608e-01,9.346397616225864402e-01,8.939111157147089370e-01,8.714387147746925910e-01,9.956403363552585040e-01,9.734333380433346505e-01,9.028699851705215274e-01,9.856381670211455948e-01,5.942923544668583524e-01,9.831648860651777122e-01,9.486780673880080839e-01,9.819430203022919690e-01,9.969120019188807413e-01,1.207369581782921308e+00,9.570601057440341064e-01,9.061917167605383350e-01,9.562972811863680311e-01
