# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.840893026153755496e-01,9.572737871327702264e-01,9.676311986435254253e-01,9.828351531619237136e-01,9.583000293316924489e-01,6.375658587278950629e-01,8.862493316028365875e-01,9.601521656709927077e-01,9.797110592141162755e-01,nan,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.550001356021277088e-01,1.000000000000000000e+00,9.935833799552928891e-01,8.835320759458025197e-01
8.840893026153755496e-01,0.000000000000000000e+00,8.206888729367007862e-01,8.749109124446329266e-01,1.000000000000000000e+00,9.620904644136568651e-01,9.902046214757014297e-01,1.000000000000000000e+00,9.598160271650553188e-01,9.714370665094821389e-01,nan,9.429777235242587929e-01,9.499816788850538041e-01,1.000000000000000000e+00,9.889770887568876123e-01,9.221191625564980621e-01,9.726275307365429557e-01,9.238694102902214045e-01
9.572737871327702264e-01,8.206888729367007862e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.067105362528984802e-01,7.694307573089025354e-01,8.569016487689120609e-01,8.710776122588490544e-01,9.028660219206319226e-01,8.731934975061846904e-01,nan,8.212041252487964904e-01,8.997750261599276600e-01,7.461301270415257036e-01,8.596934489818269798e-01,5.324198417092400604e-01,9.251123978452477914e-01,6.425205365572211891e-01
9.676311986435254253e-01,8.749109124446329266e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.309402842414034041e-01,9.031745325306239636e-01,9.505804748087434142e-01,9.417906048948689879e-01,1.000000000000000000e+00,9.579244486930927893e-01,nan,9.921993242770374977e-01,1.000000000000000000e+00,9.564617922406645212e-01,9.883359834275813327e-01,1.000000000000000000e+00,9.001221299111973329e-01,9.665865594366223057e-01
9.828351531619237136e-01,1.000000000000000000e+00,7.067105362528984802e-01,9.309402842414034041e-01,4.076241158653412522e-01,8.783183668257423804e-01,8.979541173982787949e-01,8.721228862494666556e-01,9.882322221511841143e-01,8.945429014933375944e-01,nan,1.000000000000000000e+00,9.757381002870620934e-01,1.000000000000000000e+00,8.882163740106994165e-01,7.828764780371991749e-01,9.115029959269788096e-01,9.829505107808523823e-01
9.583000293316924489e-01,9.620904644136568651e-01,7.694307573089025354e-01,9.031745325306239636e-01,8.783183668257423804e-01,0.000000000000000000e+00,5.986760628130385342e-01,8.993809027421829638e-01,8.783460469726745989e-01,9.045955180617187841e-01,nan,8.601435544079778506e-01,8.934211082186154229e-01,9.580700630397880335e-01,8.850587135882569401e-01,7.997894477711635641e-01,5.670385789008012267e-01,9.039903626741684350e-01
6.375658587278950629e-01,9.902046214757014297e-01,8.569016487689120609e-01,9.505804748087434142e-01,8.979541173982787949e-01,5.986760628130385342e-01,-2.220446049250313081e-16,8.553119105844553260e-01,9.325399671263686630e-01,9.485690273939213490e-01,nan,9.385025252970662368e-01,9.620673634861682810e-01,8.895076368840261205e-01,9.134898073556553255e-01,6.806708192561810034e-01,8.716479181727647685e-01,9.847175578389937289e-01
8.862493316028365875e-01,1.000000000000000000e+00,8.710776122588490544e-01,9.417906048948689879e-01,8.721228862494666556e-01,8.993809027421829638e-01,8.553119105844553260e-01,3.587321456764805960e-01,9.338170979493126689e-01,9.208955926450519414e-01,nan,8.832623431464340369e-01,9.460591958051871586e-01,9.928361986446370135e-01,9.032940185079161299e-01,6.708139117012928976e-01,8.651779295386220481e-01,9.436145030413751744e-01
9.601521656709927077e-01,9.598160271650553188e-01,9.028660219206319226e-01,1.000000000000000000e+00,9.882322221511841143e-01,8.783460469726745989e-01,9.325399671263686630e-01,9.338170979493126689e-01,0.000000000000000000e+00,9.340900795413359381e-01,nan,9.840768036025957510e-01,9.212883016771766798e-01,1.000000000000000000e+00,8.141413192784854314e-01,9.501715950402597199e-01,9.232465058279334391e-01,9.793859123930246380e-01
9.797110592141162755e-01,9.714370665094821389e-01,8.731934975061846904e-01,9.579244486930927893e-01,8.945429014933375944e-01,9.045955180617187841e-01,9.485690273939213490e-01,9.208955926450519414e-01,9.340900795413359381e-01,4.327589832690724170e-01,nan,8.383518371711912165e-01,9.376898050249430350e-01,8.477418249706792919e-01,8.919532219588098831e-01,9.111342304987261054e-01,9.594304021069323118e-01,9.021648438853024921e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,9.429777235242587929e-01,8.212041252487964904e-01,9.921993242770374977e-01,1.000000000000000000e+00,8.601435544079778506e-01,9.385025252970662368e-01,8.832623431464340369e-01,9.840768036025957510e-01,8.383518371711912165e-01,nan,0.000000000000000000e+00,9.502390786777158427e-01,5.644145282179441336e-01,9.804423411104064012e-01,8.870936406971795529e-01,9.227421643765321146e-01,6.122222816040904236e-01
1.000000000000000000e+00,9.499816788850538041e-01,8.997750261599276600e-01,1.000000000000000000e+00,9.757381002870620934e-01,8.934211082186154229e-01,9.620673634861682810e-01,9.460591958051871586e-01,9.212883016771766798e-01,9.376898050249430350e-01,nan,9.502390786777158427e-01,1.110223024625156540e-16,7.077406285663004892e-01,1.000000000000000000e+00,9.548534393671974652e-01,9.892659420166201034e-01,9.468541833305910149e-01
1.000000000000000000e+00,1.000000000000000000e+00,7.461301270415257036e-01,9.564617922406645212e-01,1.000000000000000000e+00,9.580700630397880335e-01,8.895076368840261205e-01,9.928361986446370135e-01,1.000000000000000000e+00,8.477418249706792919e-01,nan,5.644145282179441336e-01,7.077406285663004892e-01,0.000000000000000000e+00,9.260849189567524897e-01,5.220194076303086295e-01,1.000000000000000000e+00,7.313296465611744956e-01
9.550001356021277088e-01,9.889770887568876123e-01,8.596934489818269798e-01,9.883359834275813327e-01,8.882163740106994165e-01,8.850587135882569401e-01,9.134898073556553255e-01,9.032940185079161299e-01,8.141413192784854314e-01,8.919532219588098831e-01,nan,9.804423411104064012e-01,1.000000000000000000e+00,9.260849189567524897e-01,0.000000000000000000e+00,8.815272444183424039e-01,8.854700090056595307e-01,9.887651017854828250e-01
1.000000000000000000e+00,9.221191625564980621e-01,5.324198417092400604e-01,1.000000000000000000e+00,7.828764780371991749e-01,7.997894477711635641e-01,6.806708192561810034e-01,6.708139117012928976e-01,9.501715950402597199e-01,9.111342304987261054e-01,nan,8.870936406971795529e-01,9.548534393671974652e-01,5.220194076303086295e-01,8.815272444183424039e-01,1.110223024625156540e-16,9.280970514788251524e-01,9.396649891626691620e-01
9.935833799552928891e-01,9.726275307365429557e-01,9.251123978452477914e-01,9.001221299111973329e-01,9.115029959269788096e-01,5.670385789008012267e-01,8.716479181727647685e-01,8.651779295386220481e-01,9.232465058279334391e-01,9.594304021069323118e-01,nan,9.227421643765321146e-01,9.892659420166201034e-01,1.000000000000000000e+00,8.854700090056595307e-01,9.280970514788251524e-01,0.000000000000000000e+00,9.600931203426319449e-01
8.835320759458025197e-01,9.238694102902214045e-01,6.425205365572211891e-01,9.665865594366223057e-01,9.829505107808523823e-01,9.039903626741684350e-01,9.847175578389937289e-01,9.436145030413751744e-01,9.793859123930246380e-01,9.021648438853024921e-01,nan,6.122222816040904236e-01,9.468541833305910149e-01,7.313296465611744956e-01,9.887651017854828250e-01,9.396649891626691620e-01,9.600931203426319449e-01,5.000000000000000000e-01
