# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.249194596187984896e+00,1.095777361099573355e+00,1.326870236369230405e+00,1.181851365594089431e+00,1.317588051232780666e+00,1.250486592897604776e+00,1.206635712676414673e+00,1.199531652173276619e+00,1.159018451623978319e+00,1.155262744355950000e+00,9.480488407691898267e-01,1.218872806494029071e+00,1.285840249790113132e+00,9.313823999803019227e-01,1.199814180143309095e+00,1.266069061535128215e+00,1.019314801444701324e+00
1.249194596187984896e+00,-2.220446049250313081e-16,9.811863611790655471e-01,9.389902716552753770e-01,8.706728509036638641e-01,1.000000000000000000e+00,9.735386413892609392e-01,6.402131187011865787e-01,7.894071613433415457e-01,1.282396054354680182e+00,1.000000000000000000e+00,1.061195530175066626e+00,9.976441188485277722e-01,8.222963514849805922e-01,7.998943807678012829e-01,9.420885597924195665e-01,9.607990325051897207e-01,9.306111959022042024e-01
1.095777361099573355e+00,9.811863611790655471e-01,3.700959226248173861e-01,9.778303883422151399e-01,6.468608421242076911e-01,9.906521078292047644e-01,9.119027759775404363e-01,1.000000000000000000e+00,9.013660981256030880e-01,1.109239278821903207e+00,7.563373090087524009e-01,9.522019421554227536e-01,9.008447576431966031e-01,9.938718468241523052e-01,9.656206242280966912e-01,8.728781880987157571e-01,9.721619568231442132e-01,8.905944270120620399e-01
1.326870236369230405e+00,9.389902716552753770e-01,9.778303883422151399e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.786145690591633528e-01,1.000000000000000000e+00,9.278549265766664611e-01,9.757233529121421833e-01,1.190506605607364765e+00,9.773440877657944004e-01,1.178067390112955248e+00,9.566700927710053426e-01,1.000000000000000000e+00,9.343979913927881187e-01,9.559621119216008545e-01,8.132191043626486593e-01,1.000000000000000000e+00
1.181851365594089431e+00,8.706728509036638641e-01,6.468608421242076911e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.109366271006424487e-01,9.352780337531672039e-01,1.183979880044763622e+00,1.000000000000000000e+00,9.651423911107206433e-01,9.187009860967088049e-01,9.517276266791413475e-01,1.000000000000000000e+00,9.569734974972371466e-01,1.000000000000000000e+00,9.501432901935558117e-01
1.317588051232780666e+00,1.000000000000000000e+00,9.906521078292047644e-01,8.786145690591633528e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.317702149909780296e-01,9.426404045466083570e-01,1.283946857320512835e+00,9.058782687134651068e-01,1.047845166620718249e+00,9.590411546845213353e-01,1.000000000000000000e+00,8.990135700906806138e-01,9.687188880421779835e-01,7.333904589887898506e-01,9.706205975582518075e-01
1.250486592897604776e+00,9.735386413892609392e-01,9.119027759775404363e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.270937373396881398e+00,9.354117108509873990e-01,8.709611136778054874e-01,6.286959224771152543e-01,1.000000000000000000e+00,8.632417206178684133e-01,5.456833763992119390e-01,9.735531152566569979e-01,7.597078385591004013e-01
1.206635712676414673e+00,6.402131187011865787e-01,1.000000000000000000e+00,9.278549265766664611e-01,6.109366271006424487e-01,8.317702149909780296e-01,1.000000000000000000e+00,4.509211352426003017e-01,8.908224333315126753e-01,1.286004702048990866e+00,1.000000000000000000e+00,1.085280496031296948e+00,9.018284019375714111e-01,9.217585303781203887e-01,8.824508176893625100e-01,6.716584637360493160e-01,1.000000000000000000e+00,9.856923494025922050e-01
1.199531652173276619e+00,7.894071613433415457e-01,9.013660981256030880e-01,9.757233529121421833e-01,9.352780337531672039e-01,9.426404045466083570e-01,1.000000000000000000e+00,8.908224333315126753e-01,0.000000000000000000e+00,1.271079230179207986e+00,9.384294909190474820e-01,1.103744331581247184e+00,9.391972577883058726e-01,8.181546726966824057e-01,7.618094315609784672e-01,9.022763402385866049e-01,9.454560575566304248e-01,8.768069743600706012e-01
1.159018451623978319e+00,1.282396054354680182e+00,1.109239278821903207e+00,1.190506605607364765e+00,1.183979880044763622e+00,1.283946857320512835e+00,1.270937373396881398e+00,1.286004702048991089e+00,1.271079230179207986e+00,4.809537173556884815e-01,1.159374980966544788e+00,1.168047317734915547e+00,1.133196444536732628e+00,1.211897517654835887e+00,1.142226793463118728e+00,1.217450921855143919e+00,1.233751784200408430e+00,1.270403841359305064e+00
1.155262744355950000e+00,1.000000000000000000e+00,7.563373090087524009e-01,9.773440877657944004e-01,1.000000000000000000e+00,9.058782687134651068e-01,9.354117108509873990e-01,1.000000000000000000e+00,9.384294909190474820e-01,1.159374980966544788e+00,0.000000000000000000e+00,1.054552853565878134e+00,8.441062782976709311e-01,8.251396998537828820e-01,9.730753839678810690e-01,8.863055657083293015e-01,9.717339222727051640e-01,1.000000000000000000e+00
9.480488407691898267e-01,1.061195530175066626e+00,9.522019421554228646e-01,1.178067390112955248e+00,9.651423911107206433e-01,1.047845166620718249e+00,8.709611136778054874e-01,1.085280496031296948e+00,1.103744331581247184e+00,1.168047317734915325e+00,1.054552853565878134e+00,4.579502249650899692e-01,7.685583854968209838e-01,1.112794380327964294e+00,9.504599212083912896e-01,8.178816417340597500e-01,1.061485200967285714e+00,7.575905741279105321e-01
1.218872806494029071e+00,9.976441188485277722e-01,9.008447576431966031e-01,9.566700927710053426e-01,9.187009860967088049e-01,9.590411546845213353e-01,6.286959224771152543e-01,9.018284019375714111e-01,9.391972577883058726e-01,1.133196444536732628e+00,8.441062782976709311e-01,7.685583854968209838e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.494805776344762638e-01,2.036156115739020667e-01,8.420993735849618966e-01,6.459656903285374563e-01
1.285840249790113132e+00,8.222963514849805922e-01,9.938718468241523052e-01,1.000000000000000000e+00,9.517276266791413475e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.217585303781203887e-01,8.181546726966824057e-01,1.211897517654835887e+00,8.251396998537828820e-01,1.112794380327964294e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.755334798827227649e-01,8.830786660554178491e-01,9.669908567798685128e-01,1.000000000000000000e+00
