# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.032777483847344246e-01,5.265356253540698361e-01,9.789420394105360357e-01,8.179258588624686022e-01,9.387466973056867170e-01,6.774509926242481272e-01,7.717049724168421054e-01,9.617664396037637342e-01,8.534153235028544282e-01,8.175420502610580842e-01,8.607015963678112946e-01,8.283975225564031986e-01,8.032527503371150734e-01,9.810738180148617094e-01,3.864133560261073796e-01,9.649083487488738786e-01,8.778653092822704673e-01
8.032777483847344246e-01,-2.220446049250313081e-16,6.624820694899904439e-01,9.390621720067088285e-01,6.292065192318236910e-01,9.524111239685242314e-01,7.544156414810720968e-01,3.408256296876924774e-01,9.795706709295193271e-01,9.388347062243763697e-01,8.778843904403944576e-01,9.708597298402870113e-01,8.363376565923001937e-01,9.154063482733006962e-01,9.716260432614023390e-01,6.480418532355646244e-01,8.543474510811382983e-01,9.364243923259356617e-01
5.265356253540698361e-01,6.624820694899904439e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.617077037948976503e-01,9.844149620663582567e-01,7.302076159401428290e-01,6.735556797011817975e-01,1.000000000000000000e+00,8.820886697816666677e-01,9.949860060849587962e-01,6.908474142894581727e-01,5.506990043710452420e-01,7.392230086761050201e-01,9.984835016274790087e-01,5.451622596764769124e-01,9.526258896478950744e-01,7.860795102639355214e-01
9.789420394105360357e-01,9.390621720067088285e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.799708444023487175e-01,8.261823702420820759e-01,9.582876825554786926e-01,1.000000000000000000e+00,9.607357512543103217e-01,9.893997239272368516e-01,7.828428253766182010e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.962755555640941063e-01,9.605506976211097836e-01,9.996438502188521591e-01,9.500950103952436887e-01,9.881896801225981131e-01
8.179258588624686022e-01,6.292065192318236910e-01,5.617077037948976503e-01,9.799708444023487175e-01,2.220446049250313081e-16,9.705924962692785707e-01,8.713336068530346257e-01,5.484915813458053346e-01,9.759222796601951799e-01,8.399909059418116941e-01,9.884754702221012490e-01,7.567431661059405013e-01,5.845162399266738973e-01,8.089652260751700741e-01,9.772997610396180201e-01,7.888621720632406076e-01,9.386385907610816925e-01,8.750969802521493257e-01
9.387466973056867170e-01,9.524111239685242314e-01,9.844149620663582567e-01,8.261823702420820759e-01,9.705924962692785707e-01,1.110223024625156540e-16,9.795518029080481082e-01,9.976227244033692987e-01,8.957060053078872430e-01,9.849527670360926912e-01,8.934051893774920261e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.639728833057619184e-01,3.323777564611994917e-01,9.227353421978462533e-01,4.946422402060062229e-01,9.431238617840640437e-01
6.774509926242481272e-01,7.544156414810720968e-01,7.302076159401428290e-01,9.582876825554786926e-01,8.713336068530346257e-01,9.795518029080481082e-01,3.994177570800536703e-01,7.399331713379857511e-01,9.323313941621681478e-01,8.771906422071535925e-01,9.619184099699853441e-01,9.228028097901934679e-01,8.199140497031426333e-01,9.022372938723783875e-01,9.749448262067025306e-01,5.280773539482771506e-01,8.833935065902671635e-01,8.366224798266870266e-01
7.717049724168421054e-01,3.408256296876924774e-01,6.735556797011817975e-01,1.000000000000000000e+00,5.484915813458053346e-01,9.976227244033692987e-01,7.399331713379857511e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.094971858686786703e-01,9.234624815759073790e-01,8.629456597699023401e-01,7.249049588227310936e-01,8.594493725286311836e-01,1.000000000000000000e+00,5.712698336644301822e-01,9.094970870248459960e-01,8.975930822385915775e-01
9.617664396037637342e-01,9.795706709295193271e-01,1.000000000000000000e+00,9.607357512543103217e-01,9.759222796601951799e-01,8.957060053078872430e-01,9.323313941621681478e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.799292730622930492e-01,9.610998457716214416e-01,9.514452839634370829e-01,9.953690872421507851e-01,1.000000000000000000e+00,8.725830982107584122e-01,9.829615096574979560e-01,8.659989018358369428e-01,9.853150594207544799e-01
8.534153235028544282e-01,9.388347062243763697e-01,8.820886697816666677e-01,9.893997239272368516e-01,8.399909059418116941e-01,9.849527670360926912e-01,8.771906422071535925e-01,9.094971858686786703e-01,9.799292730622930492e-01,1.110223024625156540e-16,9.587878777887999249e-01,1.000000000000000000e+00,8.879307862623216918e-01,8.909429145866526456e-01,9.892403532248400522e-01,8.653218691647444061e-01,9.808531204093808853e-01,1.000000000000000000e+00
