# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.921490493263009247e-01,9.635494247617880648e-01,9.341821312557281320e-01,9.271878362506429383e-01,9.626049657350841393e-01,8.093463255348465335e-01,6.353838482147404765e-01,9.997976395549306172e-01,9.928934068075050412e-01,9.547680177329713747e-01,9.939904367409356789e-01,7.968381771097345911e-01,9.752092704641179832e-01,7.959973932838017019e-01,9.382632733102425071e-01,5.746323991275001930e-01,8.865797468953118265e-01,1.000000000000000000e+00
9.635494247617880648e-01,4.440892098500626162e-16,9.531984937944748548e-01,9.711308344982431118e-01,1.000000000000000000e+00,9.114929697663569641e-01,8.464196965673077555e-01,6.105440232683229107e-01,9.844420460372973469e-01,9.217794126029477120e-01,9.691639859675268420e-01,1.000000000000000000e+00,9.679526602658141687e-01,9.806251139495627545e-01,9.895504754048974894e-01,9.886885491740736720e-01,9.732828077968989078e-01,9.216709357567910432e-01
9.341821312557281320e-01,9.531984937944748548e-01,3.966797755261803893e-01,9.748369481964558325e-01,9.862162015131343829e-01,1.000000000000000000e+00,8.337186542018628632e-01,9.641077899894572312e-01,8.478431690724734793e-01,1.000000000000000000e+00,9.694031335547483863e-01,8.902099634883693380e-01,9.674580929480964819e-01,9.531971411716299025e-01,8.495565305540381251e-01,8.904694743709642424e-01,8.726269472683032546e-01,9.134227127278387037e-01
9.271878362506429383e-01,9.711308344982431118e-01,9.748369481964558325e-01,0.000000000000000000e+00,9.771825953151800359e-01,9.530917392404059107e-01,9.931007294557749887e-01,9.564826089207533188e-01,9.420496309004093849e-01,9.844821267503675033e-01,8.974183382789849839e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.595716139668974964e-01,9.909108721913516549e-01,9.820196985476387086e-01,9.534131219282407921e-01,9.893522715631410946e-01
9.626049657350841393e-01,1.000000000000000000e+00,9.862162015131343829e-01,9.771825953151800359e-01,2.220446049250313081e-16,9.670129390174866391e-01,9.949440966627945970e-01,1.000000000000000000e+00,9.491891498847252473e-01,1.000000000000000000e+00,9.345176717895942176e-01,9.266259368835343402e-01,9.749828738179512344e-01,1.000000000000000000e+00,9.910270580516833405e-01,1.000000000000000000e+00,9.546844650069964411e-01,9.469745543919354525e-01
8.093463255348465335e-01,9.114929697663569641e-01,1.000000000000000000e+00,9.530917392404059107e-01,9.670129390174866391e-01,1.110223024625156540e-16,9.400287155998025002e-01,9.767807997572871548e-01,9.085232282237601931e-01,9.056256744914534806e-01,9.020159763406881970e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.393539847107768015e-01,1.000000000000000000e+00,8.290854631927548901e-01,6.195391195614705637e-01,9.735913475653091842e-01
6.353838482147404765e-01,8.464196965673077555e-01,8.337186542018628632e-01,9.931007294557749887e-01,9.949440966627945970e-01,9.400287155998025002e-01,1.110223024625156540e-16,8.982374235323000722e-01,9.991138864039987855e-01,9.732220748519836429e-01,9.912336824108203270e-01,6.722286392177055925e-01,1.000000000000000000e+00,9.885577299969705578e-01,8.579621643774507644e-01,4.423647793262339700e-01,8.547027336844854606e-01,1.000000000000000000e+00
9.997976395549306172e-01,6.105440232683229107e-01,9.641077899894572312e-01,9.564826089207533188e-01,1.000000000000000000e+00,9.767807997572871548e-01,8.982374235323000722e-01,0.000000000000000000e+00,9.671468424149453069e-01,9.075253700101433285e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.540297117088669676e-01,1.000000000000000000e+00,9.821202155791923794e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.928934068075050412e-01,9.844420460372973469e-01,8.478431690724734793e-01,9.420496309004093849e-01,9.491891498847252473e-01,9.085232282237601931e-01,9.991138864039987855e-01,9.671468424149453069e-01,-2.220446049250313081e-16,9.130646061617170295e-01,9.664757014750662290e-01,1.000000000000000000e+00,9.396976212179460886e-01,8.981831596561725695e-01,9.488269401043832874e-01,9.920183944577618540e-01,9.431165446336500224e-01,8.194263657995668471e-01
9.547680177329713747e-01,9.217794126029477120e-01,1.000000000000000000e+00,9.844821267503675033e-01,1.000000000000000000e+00,9.056256744914534806e-01,9.732220748519836429e-01,9.075253700101433285e-01,9.130646061617170295e-01,1.110223024625156540e-16,9.877903958785861915e-01,9.490863716592076171e-01,9.706809442290329493e-01,8.866211022971141054e-01,9.928930388012153774e-01,9.653934872687000013e-01,9.814139750000053786e-01,9.652526339858540361e-01
