# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.639940904866751703e-01,7.576392142137891028e-01,9.449715095653317132e-01,1.000000000000000000e+00,8.349406756984243394e-01,1.161974603235652825e+00,1.000000000000000000e+00,9.629650567861968158e-01,8.940622596365944696e-01,8.259030765321294654e-01,9.126656511215985867e-01,8.887562955785238694e-01,5.640647190776659770e-01,1.000000000000000000e+00,4.354826614667097751e-01,9.816836670231426920e-01,9.656737933723243961e-01
9.639940904866751703e-01,-2.220446049250313081e-16,8.923299798693580254e-01,9.382949315565222159e-01,5.387595059945744502e-01,9.563274419948392113e-01,1.222401812027378742e+00,3.431021172340721348e-01,8.472396854781689690e-01,8.250774558128702862e-01,8.418226146368941176e-01,9.532619395350443448e-01,9.607027344952995263e-01,1.000000000000000000e+00,9.110918264582522630e-01,8.973282233795449869e-01,9.333480172452475188e-01,9.614490023816517628e-01
7.576392142137891028e-01,8.923299798693580254e-01,4.903204964659422793e-01,9.907262999018409122e-01,9.233320584950099885e-01,8.687919766318292769e-01,1.022571040899193484e+00,9.925986169851875873e-01,9.259927333032942354e-01,9.399829420139644842e-01,9.526504341694240763e-01,7.338657542746793716e-01,7.619715558907840247e-01,6.610400363939610280e-01,8.929238253351335919e-01,7.413750969309780281e-01,9.626163045344742208e-01,7.536918439996439512e-01
9.449715095653317132e-01,9.382949315565222159e-01,9.907262999018409122e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.374859970410729382e-01,1.259758178246895621e+00,9.863007559676784108e-01,9.675307267665333999e-01,1.000000000000000000e+00,8.686840036794818420e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.600648194349694631e-01,1.000000000000000000e+00
1.000000000000000000e+00,5.387595059945744502e-01,9.233320584950099885e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.149893541306521216e+00,5.329204614487847991e-01,9.850401315657021373e-01,9.641697423400287237e-01,1.000000000000000000e+00,9.371031757921676197e-01,9.347676032634486543e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.214511963522854510e-01
8.349406756984243394e-01,9.563274419948392113e-01,8.687919766318292769e-01,9.374859970410729382e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.084329757548472273e+00,1.000000000000000000e+00,6.409726568090425847e-01,9.525922921676933663e-01,8.020167418973607187e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.035061691497802583e-01,8.337347517727561330e-01,8.578786773433720869e-01,1.000000000000000000e+00
1.161974603235652825e+00,1.222401812027378742e+00,1.022571040899193484e+00,1.259758178246895621e+00,1.149893541306521216e+00,1.084329757548472273e+00,0.000000000000000000e+00,1.175750197128250019e+00,1.166770303580652035e+00,1.176352485087487132e+00,1.183782687290722890e+00,1.067457463580699706e+00,1.054029951559505740e+00,1.037715344642309967e+00,1.087025131263339439e+00,1.122786207155124005e+00,1.249907082600409058e+00,1.072635602729845594e+00
1.000000000000000000e+00,3.431021172340721348e-01,9.925986169851875873e-01,9.863007559676784108e-01,5.329204614487847991e-01,1.000000000000000000e+00,1.175750197128250019e+00,2.220446049250313081e-16,9.520866500417595191e-01,8.873777926318731080e-01,8.981904248455069295e-01,9.798527298556577447e-01,9.558231175695802717e-01,9.642631103037035967e-01,9.290053565210814046e-01,9.008624534248201865e-01,9.474092470441307645e-01,8.662883862527789303e-01
9.629650567861968158e-01,8.472396854781689690e-01,9.259927333032942354e-01,9.675307267665333999e-01,9.850401315657021373e-01,6.409726568090425847e-01,1.166770303580652035e+00,9.520866500417595191e-01,0.000000000000000000e+00,9.351719369658201275e-01,8.802589177115681673e-01,9.145303092106027432e-01,9.321894711194157468e-01,9.532305401351419682e-01,8.525485572646431809e-01,9.722034185424771602e-01,7.494611181863428673e-01,9.154018203043474688e-01
8.940622596365944696e-01,8.250774558128702862e-01,9.399829420139644842e-01,1.000000000000000000e+00,9.641697423400287237e-01,9.525922921676933663e-01,1.176352485087487132e+00,8.873777926318731080e-01,9.351719369658201275e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.982327266557226242e-01,8.874853394109755156e-01,8.528268164516202843e-01,8.953907697966559942e-01,8.805473068106698387e-01,9.722350404869258833e-01,9.085760302487825291e-01
8.259030765321294654e-01,8.418226146368941176e-01,9.526504341694240763e-01,8.686840036794818420e-01,1.000000000000000000e+00,8.020167418973607187e-01,1.183782687290722890e+00,8.981904248455069295e-01,8.802589177115681673e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.195456553404143252e-01,9.719861218016563331e-01,9.328851220873204397e-01,8.495614162194411456e-01,9.779211397591796029e-01,1.000000000000000000e+00
9.126656511215985867e-01,9.532619395350443448e-01,7.338657542746793716e-01,1.000000000000000000e+00,9.371031757921676197e-01,1.000000000000000000e+00,1.067457463580699706e+00,9.798527298556577447e-01,9.145303092106027432e-01,8.982327266557226242e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.817857657880719291e-01,5.641356140016560161e-01,9.938258645707280792e-01,7.377601967864032551e-01,9.982623141309431292e-01,9.072692128549009194e-02
8.887562955785238694e-01,9.607027344952995263e-01,7.619715558907840247e-01,1.000000000000000000e+00,9.347676032634486543e-01,1.000000000000000000e+00,1.054029951559505740e+00,9.558231175695802717e-01,9.321894711194157468e-01,8.874853394109755156e-01,9.195456553404143252e-01,1.817857657880719291e-01,0.000000000000000000e+00,5.581087291601503075e-01,9.993974542457122467e-01,6.738125407230536323e-01,1.000000000000000000e+00,1.949713700394175575e-01
5.640647190776659770e-01,1.000000000000000000e+00,6.610400363939610280e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.037715344642309967e+00,9.642631103037035967e-01,9.532305401351419682e-01,8.528268164516202843e-01,9.719861218016563331e-01,5.641356140016560161e-01,5.581087291601503075e-01,1.110223024625156540e-16,1.000000000000000000e+00,5.440835063777107461e-01,9.373454057862642408e-01,5.274947520251924704e-01
1.000000000000000000e+00,9.110918264582522630e-01,8.929238253351335919e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.035061691497802583e-01,1.087025131263339439e+00,9.290053565210814046e-01,8.525485572646431809e-01,8.953907697966559942e-01,9.328851220873204397e-01,9.938258645707280792e-01,9.993974542457122467e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.581791215859887245e-01,8.909137902640505979e-01,1.000000000000000000e+00
4.354826614667097751e-01,8.973282233795449869e-01,7.413750969309780281e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.337347517727561330e-01,1.122786207155124005e+00,9.008624534248201865e-01,9.722034185424771602e-01,8.805473068106698387e-01,8.495614162194411456e-01,7.377601967864032551e-01,6.738125407230536323e-01,5.440835063777107461e-01,9.581791215859887245e-01,0.000000000000000000e+00,7.490393242426023335e-01,7.565844328718481782e-01
9.816836670231426920e-01,9.333480172452475188e-01,9.626163045344742208e-01,9.600648194349694631e-01,1.000000000000000000e+00,8.578786773433720869e-01,1.249907082600409058e+00,9.474092470441307645e-01,7.494611181863428673e-01,9.722350404869258833e-01,9.779211397591796029e-01,9.982623141309431292e-01,1.000000000000000000e+00,9.373454057862642408e-01,8.909137902640505979e-01,7.490393242426023335e-01,2.220446049250313081e-16,1.000000000000000000e+00
