# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.043728645079579520e-01,1.000000000000000000e+00,8.207453799474861977e-01,1.326029428371078733e+00,9.171501754068566159e-01,2.554302710842084601e-01,9.991863580569853021e-01,9.640613379739078059e-01,9.573906010837616165e-01,8.172878719685627846e-01,9.702847664132916439e-01,9.623859309889861713e-01,1.000000000000000000e+00,9.014588344616200066e-01,7.297874181618807521e-01,9.626990809919019343e-01,1.000000000000000000e+00
9.043728645079579520e-01,0.000000000000000000e+00,8.665635112671737916e-01,9.282327998995104634e-01,1.112650188715647026e+00,8.056933197345199638e-01,9.388103328731749464e-01,8.820835492468199757e-01,7.887806710737699234e-01,9.378275714505184268e-01,7.955835477780351939e-01,8.503084873102942920e-01,9.470076249678764935e-01,8.501535878542905156e-01,9.873007774537552184e-01,9.130523164260412328e-01,9.020592470476578306e-01,9.078007399372701736e-01
1.000000000000000000e+00,8.665635112671737916e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.052248880944304910e+00,8.522368347440486547e-01,1.000000000000000000e+00,9.693687309806812147e-01,9.758200932584706333e-01,1.000000000000000000e+00,9.795737237621369164e-01,9.628084998287761431e-01,9.479852816649120273e-01,8.591586521787404340e-01,1.000000000000000000e+00,9.442731979093366146e-01,9.911379154702150140e-01,1.000000000000000000e+00
8.207453799474861977e-01,9.282327998995104634e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.311360840951091067e+00,9.806347327584058471e-01,8.421453503004117103e-01,1.000000000000000000e+00,9.496439894731646403e-01,9.375735428123803672e-01,8.209422233674970037e-01,9.582424645101407235e-01,9.556198214824468407e-01,9.076896931813492886e-01,9.913421663601925671e-01,9.684916942085468605e-01,1.000000000000000000e+00,9.682051858785463150e-01
1.326029428371078733e+00,1.112650188715647026e+00,1.052248880944304910e+00,1.311360840951091067e+00,1.110223024625156540e-16,1.218388795887657139e+00,1.423626961857109352e+00,1.371465528977447779e+00,1.150819420851942665e+00,1.195434359687627790e+00,1.173396270388135987e+00,1.253442236762783990e+00,1.450399336557507635e+00,1.299606728204568906e+00,1.349375787080338229e+00,1.351379030306840257e+00,1.175153433384314550e+00,1.325461595685478278e+00
9.171501754068566159e-01,8.056933197345199638e-01,8.522368347440486547e-01,9.806347327584058471e-01,1.218388795887657139e+00,0.000000000000000000e+00,9.546955572084316888e-01,9.597390060833161929e-01,9.912167586499174288e-01,8.697899308410264041e-01,9.437981942973769911e-01,9.627119224741624848e-01,9.649790281315240303e-01,8.984810131344299622e-01,9.533821955553596350e-01,9.810736210737476259e-01,1.000000000000000000e+00,9.730985062369047478e-01
2.554302710842084601e-01,9.388103328731749464e-01,1.000000000000000000e+00,8.421453503004117103e-01,1.423626961857109352e+00,9.546955572084316888e-01,2.220446049250313081e-16,9.838438803638116514e-01,9.763296010889896959e-01,9.758360427987946562e-01,9.021287963074409166e-01,9.686357907254682376e-01,9.305726338554692889e-01,1.000000000000000000e+00,8.874042677739684137e-01,7.704341167054142847e-01,9.840199838015748490e-01,1.000000000000000000e+00
9.991863580569853021e-01,8.820835492468199757e-01,9.693687309806812147e-01,1.000000000000000000e+00,1.371465528977447779e+00,9.597390060833161929e-01,9.838438803638116514e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.381759460893142499e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.503870868693952145e-01,7.659329686302475126e-01,9.795516732211775324e-01
9.640613379739078059e-01,7.887806710737699234e-01,9.758200932584706333e-01,9.496439894731646403e-01,1.150819420851942665e+00,9.912167586499174288e-01,9.763296010889896959e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.808020178142062839e-01,9.567988503706840175e-01,9.211847972239747273e-01,9.549006361325741432e-01,9.929993205057932038e-01,9.670064522565834375e-01,9.312734887265120554e-01,9.379196617946765624e-01,8.669992774626394949e-01
9.573906010837616165e-01,9.378275714505184268e-01,1.000000000000000000e+00,9.375735428123803672e-01,1.195434359687627790e+00,8.697899308410264041e-01,9.758360427987946562e-01,1.000000000000000000e+00,9.808020178142062839e-01,2.220446049250313081e-16,9.477563038287180053e-01,9.595467941947343204e-01,9.455830741316515464e-01,8.653750550637535621e-01,8.932799439019126764e-01,9.318847076580568656e-01,1.000000000000000000e+00,1.000000000000000000e+00
