# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,7.261118242714619253e-01,4.167319187763006694e-01,8.221264657603026826e-01,9.239763069204667278e-01,8.949694974799317082e-01,1.934255677164790077e-01,7.733637370406494238e-01,1.098704093427221640e+00,nan,1.053834614823710769e+00,8.634557778051623611e-01,5.824979171703236203e-01,5.298523676365441970e-01,1.162883813894443286e+00,1.389245113801218512e-01,9.082722333616486399e-01,8.806229048084849298e-01
7.261118242714619253e-01,0.000000000000000000e+00,5.881836994768525617e-01,8.056002584901530428e-01,1.000000000000000000e+00,9.119750408664362151e-01,7.884162371945163672e-01,4.967884000529160238e-01,1.105978775957600524e+00,nan,9.471253370896631774e-01,7.562310268755447762e-01,6.021238821361383220e-01,7.495113962350055115e-01,1.188491931682280622e+00,7.805186528499644671e-01,9.167728589880741463e-01,7.550787810493087004e-01
4.167319187763006694e-01,5.881836994768525617e-01,1.110223024625156540e-16,8.455363364471258913e-01,9.598613469354222438e-01,9.140168754911546234e-01,4.598063236245567564e-01,5.695589123108810714e-01,1.043750176648391426e+00,nan,9.441083874551846611e-01,7.873077694271523042e-01,5.719592915828188850e-01,5.571306609535771059e-01,1.032589683690612992e+00,4.108806957296194939e-01,9.377412466278189918e-01,8.315632917576719629e-01
8.221264657603026826e-01,8.056002584901530428e-01,8.455363364471258913e-01,0.000000000000000000e+00,9.928689447030414339e-01,9.364046670679987416e-01,8.488051549560621245e-01,8.126771351114682185e-01,1.157839676824932607e+00,nan,1.102623165693686236e+00,8.290106998427352325e-01,8.789718595742640472e-01,9.683231666993256104e-01,1.209580756170311799e+00,8.732099481927853013e-01,9.265854416707193231e-01,7.707471921154150918e-01
9.239763069204667278e-01,1.000000000000000000e+00,9.598613469354222438e-01,9.928689447030414339e-01,1.110223024625156540e-16,9.899095798071720909e-01,9.634345945866695793e-01,8.196518688849158130e-01,1.152205325321424834e+00,nan,1.107573157992758350e+00,8.591825666513930315e-01,9.074430008514122736e-01,9.303324255773894880e-01,1.123236937555937009e+00,9.389076841423530384e-01,9.472499765274666750e-01,9.056680043407774328e-01
8.949694974799317082e-01,9.119750408664362151e-01,9.140168754911546234e-01,9.364046670679987416e-01,9.899095798071720909e-01,3.330669073875469621e-16,9.269357554878258076e-01,9.203097073507631176e-01,1.223534927828659136e+00,nan,1.253375030776412880e+00,8.817684234390306131e-01,9.237260218725639183e-01,9.284909264042808807e-01,1.189192777302730653e+00,8.925872964927709097e-01,9.105885567026777982e-01,8.901355167641422650e-01
1.934255677164790077e-01,7.884162371945163672e-01,4.598063236245567564e-01,8.488051549560621245e-01,9.634345945866695793e-01,9.269357554878258076e-01,2.220446049250313081e-16,8.024607943718793379e-01,1.124496162778264807e+00,nan,1.085135828158136251e+00,9.721310198975052774e-01,5.675100051757150377e-01,5.255258636963109353e-01,1.139737593907940827e+00,2.340717871444794040e-01,9.217294436618370668e-01,9.962971264186398779e-01
7.733637370406494238e-01,4.967884000529160238e-01,5.695589123108810714e-01,8.126771351114682185e-01,8.196518688849158130e-01,9.203097073507631176e-01,8.024607943718793379e-01,2.220446049250313081e-16,1.084351248797125411e+00,nan,1.063626924924592654e+00,6.414907199741173294e-01,8.038611416715406577e-01,7.203402497788731207e-01,1.130245079384586404e+00,8.014620535821785907e-01,9.191637928580824735e-01,6.279650192182717472e-01
1.098704093427221640e+00,1.105978775957600524e+00,1.043750176648391426e+00,1.157839676824932607e+00,1.152205325321424834e+00,1.223534927828659136e+00,1.124496162778264807e+00,1.084351248797125411e+00,1.110223024625156540e-16,nan,1.266438469388807775e+00,1.058484927348080085e+00,1.116754670701402663e+00,1.143879976125154352e+00,8.394954848830119554e-01,1.134253099780476948e+00,1.176652375532629469e+00,1.075716656571963803e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.053834614823710769e+00,9.471253370896631774e-01,9.441083874551846611e-01,1.102623165693686236e+00,1.107573157992758350e+00,1.253375030776412880e+00,1.085135828158136251e+00,1.063626924924592654e+00,1.266438469388807775e+00,nan,-2.220446049250313081e-16,1.065132790559361720e+00,1.096272604950279339e+00,1.075505809644393018e+00,1.299146213631686031e+00,1.041155777313428343e+00,1.096637016823338584e+00,1.076824878321001266e+00
