# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,7.257780729838203548e-01,6.841743058951255119e-01,7.384106579362743616e-01,7.821159911566355483e-01,8.981497330519745415e-01,4.209034340585926515e-02,1.000000000000000000e+00,8.939977689721773091e-01,7.454342195372460900e-01,7.373250610247623626e-01,1.862002761976681020e-01,1.165502076386348840e-01,5.362516580249521159e-01,8.965111712605114969e-01,-4.170710940154753743e-03,9.642033161181464695e-01,1.585273017056507694e-01
7.257780729838203548e-01,-2.220446049250313081e-16,8.470327988942506492e-01,1.000000000000000000e+00,5.622553983352710505e-01,9.585051487336362364e-01,7.147655321048692612e-01,8.406618000725291084e-01,8.069402980124349423e-01,8.174394026402291846e-01,9.314743822216022817e-01,7.776223017116156155e-01,7.335933834444972046e-01,9.941000490406245449e-01,9.071107366216013546e-01,6.945741578062318844e-01,8.430701836293195139e-01,7.465305038695217998e-01
6.841743058951255119e-01,8.470327988942506492e-01,0.000000000000000000e+00,8.655815075326317443e-01,7.846642343967447086e-01,1.000000000000000000e+00,6.281850498717098663e-01,8.864639804894721697e-01,1.000000000000000000e+00,6.590728690884199992e-01,1.000000000000000000e+00,7.470587512708288802e-01,7.059052990072460787e-01,9.414028880682052680e-01,1.000000000000000000e+00,7.308495715923747360e-01,9.906951312976238766e-01,7.105965706074044430e-01
7.384106579362743616e-01,1.000000000000000000e+00,8.655815075326317443e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.110035140647828600e-01,7.123651374526944746e-01,1.000000000000000000e+00,8.804664963154761326e-01,8.455222040720968835e-01,4.743931484329887427e-01,7.423379681274224762e-01,7.187208486483058767e-01,7.519457283436228323e-01,9.134997844944889867e-01,6.897886772374612896e-01,8.712860919092975109e-01,7.006580960190366136e-01
7.821159911566355483e-01,5.622553983352710505e-01,7.846642343967447086e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.927650841574608975e-01,7.778980889434156110e-01,5.676678869066094091e-01,9.771095429204903482e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.326239436580650244e-01,8.621323871800816718e-01,1.000000000000000000e+00,9.949691358098055050e-01,7.610151980344499467e-01,9.625444266623539580e-01,8.359561056430721004e-01
8.981497330519745415e-01,9.585051487336362364e-01,1.000000000000000000e+00,9.110035140647828600e-01,9.927650841574608975e-01,-4.440892098500626162e-16,9.806271862097259984e-01,9.673679569509785470e-01,4.551152482355710349e-01,9.242250656617796434e-01,8.450594654586757182e-01,9.512383984344698895e-01,9.287588977564700254e-01,9.500973552788676280e-01,3.833479428599955163e-01,8.883818640151123214e-01,9.006130740285247516e-01,9.303329708150168686e-01
4.209034340585926515e-02,7.147655321048692612e-01,6.281850498717098663e-01,7.123651374526944746e-01,7.778980889434156110e-01,9.806271862097259984e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.797415494680389747e-01,6.604390898358223350e-01,2.300856752545223927e-01,1.435293726810101811e-01,5.147225106098382019e-01,9.553350610790922737e-01,1.330583719724411917e-01,8.785730573583674374e-01,2.557499301261689784e-01
1.000000000000000000e+00,8.406618000725291084e-01,8.864639804894721697e-01,1.000000000000000000e+00,5.676678869066094091e-01,9.673679569509785470e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.755257589334576096e-01,9.398031683214990162e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.809141593185166652e-01,1.000000000000000000e+00,9.746202399332891675e-01,1.000000000000000000e+00
8.939977689721773091e-01,8.069402980124349423e-01,1.000000000000000000e+00,8.804664963154761326e-01,9.771095429204903482e-01,4.551152482355710349e-01,1.000000000000000000e+00,9.755257589334576096e-01,0.000000000000000000e+00,9.008399754504035073e-01,8.471522942255070854e-01,8.147087099044042491e-01,9.560571287303853971e-01,9.953516289634285474e-01,3.300454703071714624e-01,1.000000000000000000e+00,6.589107737034611834e-01,9.230968679852253889e-01
7.454342195372460900e-01,8.174394026402291846e-01,6.590728690884199992e-01,8.455222040720968835e-01,1.000000000000000000e+00,9.242250656617796434e-01,7.797415494680389747e-01,9.398031683214990162e-01,9.008399754504035073e-01,0.000000000000000000e+00,8.000081303313597569e-01,7.669205892551647086e-01,7.461308749353670056e-01,1.000000000000000000e+00,9.266945437000699837e-01,7.383401743664633754e-01,8.732463259688003632e-01,7.486891876260461931e-01
