# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.508893969784002476e-01,9.411621345747901435e-01,8.246290188227434204e-01,9.303367638753302638e-01,9.026769140173047656e-01,6.935850320735124086e-01,9.902895947944727606e-01,9.214185500979991117e-01,1.000000000000000000e+00,8.888556384244957753e-01,9.601775484519617931e-01,8.935693970641839234e-01,9.028114166492702264e-01,9.069290357150527893e-01,2.445972643661453172e-01,9.001672499335234834e-01,9.706707933309141056e-01
9.508893969784002476e-01,0.000000000000000000e+00,9.514253924304825194e-01,9.542106049662923972e-01,8.538480855054939589e-01,9.007762634614583375e-01,9.477488571051289057e-01,9.408401234873307040e-01,1.000000000000000000e+00,9.981252703364928980e-01,9.653541825311785507e-01,9.964781135559773739e-01,9.931481537625864719e-01,9.296376898371793152e-01,9.268104169915732937e-01,9.509720530330749710e-01,7.853788735616574757e-01,8.980763171928283217e-01
9.411621345747901435e-01,9.514253924304825194e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.735038957269261939e-01,8.827969062598772787e-01,9.765888886920840450e-01,9.994338778537271706e-01,9.394901419369818818e-01,9.251495439286947509e-01,9.239793158080776836e-01,5.605140632976388648e-01,5.710328856150574950e-01,8.318528878921802594e-01,9.492062464136284961e-01,9.115518935690202218e-01,8.288086185195266964e-01,5.650013089662689891e-01
8.246290188227434204e-01,9.542106049662923972e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.915398339832003582e-01,9.711910829180653293e-01,8.325471983969174872e-01,9.086467708462718784e-01,9.835772017649692112e-01,8.522305628820496803e-01,8.041020342608173888e-01,9.789996308221333710e-01,9.524394042578993025e-01,9.840922013399318047e-01,1.000000000000000000e+00,9.039469189024333939e-01,9.596024877952955556e-01,9.946900825156481663e-01
9.303367638753302638e-01,8.538480855054939589e-01,9.735038957269261939e-01,8.915398339832003582e-01,0.000000000000000000e+00,8.967304368078297117e-01,9.274683683208819751e-01,9.530818901398065979e-01,9.994097269683402951e-01,9.753461787361595858e-01,9.593624190922941386e-01,9.444772163283566835e-01,6.969731108880667936e-01,9.822069855381712067e-01,8.935641994765560758e-01,9.363706455659266403e-01,8.216965372695131942e-01,9.561178176186311273e-01
9.026769140173047656e-01,9.007762634614583375e-01,8.827969062598772787e-01,9.711910829180653293e-01,8.967304368078297117e-01,-2.220446049250313081e-16,8.740377742809154471e-01,9.020629678716062250e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.801780454913514573e-01,9.444834540401286782e-01,8.984726574647915465e-01,7.695453743657636458e-01,5.300817402621451624e-01,8.920314362460002311e-01,7.074333167199575723e-01,8.972746941052253122e-01
6.935850320735124086e-01,9.477488571051289057e-01,9.765888886920840450e-01,8.325471983969174872e-01,9.274683683208819751e-01,8.740377742809154471e-01,2.863414151766965343e-01,9.578661323085737589e-01,9.240494751594441336e-01,9.381470696146992916e-01,8.963653832488462925e-01,9.344481502472887779e-01,9.361715203056388823e-01,9.346857020205592281e-01,8.832364984773624084e-01,6.775547974333850920e-01,8.779474968722167372e-01,9.459836867417910078e-01
9.902895947944727606e-01,9.408401234873307040e-01,9.994338778537271706e-01,9.086467708462718784e-01,9.530818901398065979e-01,9.020629678716062250e-01,9.578661323085737589e-01,4.440892098500626162e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.940166388677654785e-01,8.835110789156987998e-01,9.287661869887120503e-01,9.002545423849843687e-01,7.319380559105228556e-01,9.933452159229222422e-01,1.000000000000000000e+00,9.381013722481356121e-01
9.214185500979991117e-01,1.000000000000000000e+00,9.394901419369818818e-01,9.835772017649692112e-01,9.994097269683402951e-01,1.000000000000000000e+00,9.240494751594441336e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.845260541621108086e-01,9.292578657068378822e-01,9.621072641332846231e-01,1.000000000000000000e+00,9.255944756163505538e-01,9.168893799551794954e-01,9.206767624878346989e-01,9.263028026877886401e-01,8.728239436534642737e-01
1.000000000000000000e+00,9.981252703364928980e-01,9.251495439286947509e-01,8.522305628820496803e-01,9.753461787361595858e-01,1.000000000000000000e+00,9.381470696146992916e-01,1.000000000000000000e+00,9.845260541621108086e-01,3.721489524518005743e-01,7.635436189248179240e-01,9.765132335674732156e-01,9.919654193520358598e-01,9.515402088100493039e-01,8.263260822202541656e-01,9.946902626891540589e-01,9.869987137166189584e-01,9.435148793660246280e-01
8.888556384244957753e-01,9.653541825311785507e-01,9.239793158080776836e-01,8.041020342608173888e-01,9.593624190922941386e-01,9.801780454913514573e-01,8.963653832488462925e-01,9.940166388677654785e-01,9.292578657068378822e-01,7.635436189248179240e-01,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.678371777612095883e-01,9.648113129455800907e-01,5.920052297568620947e-01,9.637314204279812113e-01,1.000000000000000000e+00
9.601775484519617931e-01,9.964781135559773739e-01,5.605140632976388648e-01,9.789996308221333710e-01,9.444772163283566835e-01,9.444834540401286782e-01,9.344481502472887779e-01,8.835110789156987998e-01,9.621072641332846231e-01,9.765132335674732156e-01,1.000000000000000000e+00,1.110223024625156540e-16,2.266594211315391405e-01,8.725370852126421717e-01,1.000000000000000000e+00,8.982508446302550631e-01,8.184695457049607770e-01,1.250506942486189210e-01
8.935693970641839234e-01,9.931481537625864719e-01,5.710328856150574950e-01,9.524394042578993025e-01,6.969731108880667936e-01,8.984726574647915465e-01,9.361715203056388823e-01,9.287661869887120503e-01,1.000000000000000000e+00,9.919654193520358598e-01,1.000000000000000000e+00,2.266594211315391405e-01,0.000000000000000000e+00,9.288177941038540109e-01,9.941782570138897324e-01,7.942081383958132790e-01,8.333678602874395880e-01,2.519031714508112030e-01
9.028114166492702264e-01,9.296376898371793152e-01,8.318528878921802594e-01,9.840922013399318047e-01,9.822069855381712067e-01,7.695453743657636458e-01,9.346857020205592281e-01,9.002545423849843687e-01,9.255944756163505538e-01,9.515402088100495259e-01,9.678371777612095883e-01,8.725370852126421717e-01,9.288177941038540109e-01,4.973788778247600906e-01,9.683734574377804716e-01,9.405636448907858105e-01,9.361156749819654621e-01,8.203965009919718110e-01
9.069290357150527893e-01,9.268104169915732937e-01,9.492062464136284961e-01,1.000000000000000000e+00,8.935641994765560758e-01,5.300817402621451624e-01,8.832364984773624084e-01,7.319380559105228556e-01,9.168893799551794954e-01,8.263260822202541656e-01,9.648113129455800907e-01,1.000000000000000000e+00,9.941782570138897324e-01,9.683734574377804716e-01,2.220446049250313081e-16,9.041294340584535849e-01,7.621379535531523919e-01,1.000000000000000000e+00
2.445972643661453172e-01,9.509720530330749710e-01,9.115518935690202218e-01,9.039469189024333939e-01,9.363706455659266403e-01,8.920314362460002311e-01,6.775547974333850920e-01,9.933452159229222422e-01,9.206767624878346989e-01,9.946902626891540589e-01,5.920052297568620947e-01,8.982508446302550631e-01,7.942081383958132790e-01,9.405636448907858105e-01,9.041294340584535849e-01,1.037694224366659257e-01,8.812907844157192860e-01,9.244353118299865057e-01
9.001672499335234834e-01,7.853788735616574757e-01,8.288086185195266964e-01,9.596024877952955556e-01,8.216965372695131942e-01,7.074333167199575723e-01,8.779474968722167372e-01,1.000000000000000000e+00,9.263028026877886401e-01,9.869987137166189584e-01,9.637314204279812113e-01,8.184695457049607770e-01,8.333678602874395880e-01,9.361156749819654621e-01,7.621379535531523919e-01,8.812907844157192860e-01,0.000000000000000000e+00,8.556765011559059886e-01
9.706707933309141056e-01,8.980763171928283217e-01,5.650013089662689891e-01,9.946900825156481663e-01,9.561178176186311273e-01,8.972746941052253122e-01,9.459836867417910078e-01,9.381013722481356121e-01,8.728239436534642737e-01,9.435148793660246280e-01,1.000000000000000000e+00,1.250506942486189210e-01,2.519031714508112030e-01,8.203965009919718110e-01,1.000000000000000000e+00,9.244353118299865057e-01,8.556765011559059886e-01,1.110223024625156540e-16
