# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.130475742555992369e-01,9.665097385931062934e-01,1.000000000000000000e+00,9.390219610043251119e-01,9.160218234989285779e-01,3.650814706900133988e-01,1.062689334043136702e+00,1.183601058855750621e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.337490745898764377e-01,6.849777386142855695e-01,9.708547322282350400e-01,1.155106552423179389e+00,8.282286706689471201e-01,9.915258215680284870e-01,9.418585096550974312e-01
9.130475742555992369e-01,4.999999999999999445e-01,1.014978762978112403e+00,9.571824011106015995e-01,9.864890896001397014e-01,9.236016249222840369e-01,8.778301731011527442e-01,8.662626172871052965e-01,1.079494440231268726e+00,9.314376809520247269e-01,8.970761729460848821e-01,9.173903807121852605e-01,1.151528162177321901e+00,9.379218793979895441e-01,1.112738137096938029e+00,1.088059131796899948e+00,9.242457876068606026e-01,8.447716049983711173e-01
9.665097385931062934e-01,1.014978762978112403e+00,6.125177870092266552e-01,1.102234072418984301e+00,1.026477220769529852e+00,1.031550274324519734e+00,9.010391491691432941e-01,1.090376497156245961e+00,1.079473030235957864e+00,1.079899026986657518e+00,1.049339525821678887e+00,9.761716940672082732e-01,9.200854715745657719e-01,9.967069855609224094e-01,1.073811132043254402e+00,9.585602962688657414e-01,1.103299376029635459e+00,1.048512712858519880e+00
1.000000000000000000e+00,9.571824011106015995e-01,1.102234072418984301e+00,-2.220446049250313081e-16,9.920125339974116274e-01,9.576437449956665127e-01,9.928168179505760804e-01,1.021742525174989202e+00,1.181396890896190932e+00,9.471796322499478338e-01,8.021980160667903093e-01,9.377728230601520831e-01,1.250546585507857467e+00,9.646452185238566512e-01,1.210181346629373600e+00,1.159204927953876973e+00,9.220164184740560209e-01,8.956178803160714796e-01
9.390219610043251119e-01,9.864890896001397014e-01,1.026477220769529852e+00,9.920125339974116274e-01,-2.220446049250313081e-16,9.866819734778451423e-01,9.655938274493129914e-01,1.055377155863807870e+00,1.126896171190907348e+00,9.935840866137972682e-01,8.209867156101179342e-01,7.790655192764344150e-01,1.137367751438123298e+00,1.000000000000000000e+00,1.138249089242560075e+00,1.105502327775677474e+00,9.781498476474748127e-01,9.183763686780642699e-01
9.160218234989285779e-01,9.236016249222840369e-01,1.031550274324519734e+00,9.576437449956665127e-01,9.866819734778451423e-01,-2.220446049250313081e-16,9.179867976165907439e-01,1.053756177057619592e+00,9.599961506330674244e-01,1.000000000000000000e+00,9.637013764845081543e-01,9.143879043438200016e-01,1.174788870990348677e+00,8.789244576277888132e-01,1.029715000288875970e+00,1.205066401822435296e+00,7.371726431706766558e-01,9.038080587423368284e-01
3.650814706900133988e-01,8.778301731011527442e-01,9.010391491691432941e-01,9.928168179505760804e-01,9.655938274493129914e-01,9.179867976165907439e-01,3.330669073875469621e-16,1.015901685269382071e+00,1.107343710622329169e+00,9.099901748381098443e-01,1.000000000000000000e+00,9.006596662044054069e-01,6.185317134949641638e-01,8.431926333735918488e-01,1.094631525240739478e+00,8.693923030147094888e-01,9.371844573453304017e-01,8.771913393451882257e-01
1.062689334043136702e+00,8.662626172871052965e-01,1.090376497156245961e+00,1.021742525174989202e+00,1.055377155863807870e+00,1.053756177057619592e+00,1.015901685269382071e+00,6.225570639083615188e-01,1.046923017271322864e+00,1.000601138653928857e+00,1.063924733153534197e+00,9.940325846593818238e-01,1.183734636540888507e+00,1.056486089921890414e+00,1.136549641980019842e+00,9.960391233716281434e-01,1.066594250550444434e+00,1.005009022397747698e+00
1.183601058855750621e+00,1.079494440231268726e+00,1.079473030235957864e+00,1.181396890896190932e+00,1.126896171190907348e+00,9.599961506330674244e-01,1.107343710622329169e+00,1.046923017271322864e+00,-2.220446049250313081e-16,9.241805487325873703e-01,1.169771901726871732e+00,9.455307313982597162e-01,1.081560168619495776e+00,1.012144725406383117e+00,8.159616554918678322e-01,1.002441621119584125e+00,1.047679969458574778e+00,1.046603528016051721e+00
1.000000000000000000e+00,9.314376809520247269e-01,1.079899026986657518e+00,9.471796322499478338e-01,9.935840866137972682e-01,1.000000000000000000e+00,9.099901748381098443e-01,1.000601138653928857e+00,9.241805487325873703e-01,3.221362721831007025e-01,9.746876112843813056e-01,9.832933353966002432e-01,1.223295708645089963e+00,9.992630058278803018e-01,7.911226820959379458e-01,1.201135451812414212e+00,9.416089612722873259e-01,9.734303217313340362e-01
