# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,8.214710980591376499e-01,7.311729678749826489e-01,8.053006844239900541e-01,1.000000000000000000e+00,8.773470292655947134e-01,7.342700023166320866e-01,8.868876080702745579e-01,9.677421555920407981e-01,9.815118385146228697e-01,9.091831017773395196e-01,8.830914393258073591e-01,9.452769827483826770e-01,6.613708691040605103e-01,9.468020584500411729e-01,6.065875744409376935e-01,8.916656983101647338e-01,9.023323747656427640e-01
8.214710980591376499e-01,0.000000000000000000e+00,9.312664276125915963e-01,6.332852495541549942e-01,9.541164830661704732e-01,9.904793922744349333e-01,9.194401108378971177e-01,6.511343393423101311e-01,1.000000000000000000e+00,9.580983627912345035e-01,8.295913162266346230e-01,9.783228012863940393e-01,9.695905087088800833e-01,9.582549735812434522e-01,1.000000000000000000e+00,9.216216110445691889e-01,9.896409821747857993e-01,9.771660562484709711e-01
7.311729678749826489e-01,9.312664276125915963e-01,0.000000000000000000e+00,9.548324424139371658e-01,8.662433238625493193e-01,9.428275522557985067e-01,7.313063310154652719e-01,8.728370366070941078e-01,9.700608585634866721e-01,9.268255179407370870e-01,9.653446211793955678e-01,6.869347969205713555e-01,6.795611960419694064e-01,4.140085008878743311e-01,9.904883295388849929e-01,7.056512809130609520e-01,9.360026950801085821e-01,7.286506724188213102e-01
8.053006844239900541e-01,6.332852495541549942e-01,9.548324424139371658e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.107631503944662699e+00,8.576454138035922714e-01,1.000000000000000000e+00,8.679962913807246494e-01,8.493802034391251254e-01,9.311635939470366274e-01,9.212978376405309699e-01,9.455866601974808328e-01,1.000000000000000000e+00,9.608816672041338158e-01,9.814507497939719549e-01,9.392900853198525857e-01
1.000000000000000000e+00,9.541164830661704732e-01,8.662433238625493193e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,9.384122617112697906e-01,9.745521509181913622e-01,7.542237386661695409e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.616142202383623161e-01,8.506382118156546879e-01,7.882393640843790017e-01,9.734895826994796053e-01,8.167330835544037715e-01,8.693281835757633580e-01,8.743789380897649677e-01
8.773470292655947134e-01,9.904793922744349333e-01,9.428275522557985067e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.817087312273229394e-01,1.000000000000000000e+00,6.779037474953364395e-01,9.067532529879313019e-01,9.040271819596411573e-01,9.608526103275675245e-01,9.768285009845563138e-01,9.389017263397152480e-01,4.073151249185797962e-01,9.301141006672783984e-01,4.628786370826437624e-01,9.661901352085212613e-01
7.342700023166320866e-01,9.194401108378971177e-01,7.313063310154652719e-01,1.107631503944662699e+00,9.384122617112697906e-01,9.817087312273229394e-01,3.976476674356356211e-01,9.922654468400918804e-01,1.141583657346917802e+00,1.129123291066931101e+00,1.092177349512967410e+00,9.538572426398108650e-01,9.317391099769815055e-01,7.364581408156392062e-01,1.010214669866944970e+00,6.424574452453334361e-01,9.509309307752071838e-01,9.675492757829731172e-01
8.868876080702745579e-01,6.511343393423101311e-01,8.728370366070941078e-01,8.576454138035922714e-01,9.745521509181913622e-01,1.000000000000000000e+00,9.922654468400918804e-01,5.000000000000000000e-01,9.883371259174418277e-01,9.161618764517978075e-01,9.498688675707213092e-01,9.320247722348771191e-01,9.881778463189372363e-01,8.794968261804050336e-01,1.000000000000000000e+00,9.497554879441176823e-01,9.486173570788116738e-01,9.834996489903971018e-01
9.677421555920407981e-01,1.000000000000000000e+00,9.700608585634866721e-01,1.000000000000000000e+00,7.542237386661695409e-01,6.779037474953364395e-01,1.141583657346917802e+00,9.883371259174418277e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.955552737326718304e-01,7.123580816863901433e-01,7.403613529054625664e-01,9.581871219081887769e-01,6.558883399179005202e-01,8.884018033206076970e-01,7.491693653707620637e-01,7.609480629224767423e-01
9.815118385146228697e-01,9.580983627912345035e-01,9.268255179407370870e-01,8.679962913807246494e-01,1.000000000000000000e+00,9.067532529879313019e-01,1.129123291066931101e+00,9.161618764517978075e-01,1.000000000000000000e+00,2.141871729022481186e-01,9.632506736307202555e-01,7.223055911355507064e-01,9.408834293009051830e-01,9.485616362745075136e-01,9.676914001343595029e-01,9.774966207888664549e-01,9.695138420927862377e-01,9.588167638278837224e-01
9.091831017773395196e-01,8.295913162266346230e-01,9.653446211793955678e-01,8.493802034391251254e-01,1.000000000000000000e+00,9.040271819596411573e-01,1.092177349512967410e+00,9.498688675707213092e-01,9.955552737326718304e-01,9.632506736307202555e-01,2.220446049250313081e-16,9.803483863641689888e-01,8.398039664103971180e-01,9.870078723753935579e-01,9.645417655138339708e-01,9.246689013896781661e-01,9.887608491900824470e-01,9.775790818867386989e-01
8.830914393258073591e-01,9.783228012863940393e-01,6.869347969205713555e-01,9.311635939470366274e-01,8.616142202383623161e-01,9.608526103275675245e-01,9.538572426398108650e-01,9.320247722348771191e-01,7.123580816863901433e-01,7.223055911355507064e-01,9.803483863641689888e-01,0.000000000000000000e+00,1.896757488151162852e-01,7.380250529104206425e-01,9.721786634977090946e-01,8.352941028367512066e-01,9.971089873042523477e-01,1.363651910997241146e-01
9.452769827483826770e-01,9.695905087088800833e-01,6.795611960419694064e-01,9.212978376405309699e-01,8.506382118156546879e-01,9.768285009845563138e-01,9.317391099769815055e-01,9.881778463189372363e-01,7.403613529054625664e-01,9.408834293009051830e-01,8.398039664103971180e-01,1.896757488151162852e-01,-2.220446049250313081e-16,7.522839185086143132e-01,9.861241201732811046e-01,7.152829593721928836e-01,9.770930385995986178e-01,1.609632890039086606e-01
6.613708691040605103e-01,9.582549735812434522e-01,4.140085008878743311e-01,9.455866601974808328e-01,7.882393640843790017e-01,9.389017263397152480e-01,7.364581408156392062e-01,8.794968261804050336e-01,9.581871219081887769e-01,9.485616362745075136e-01,9.870078723753935579e-01,7.380250529104206425e-01,7.522839185086143132e-01,0.000000000000000000e+00,8.953410174645511921e-01,-3.449807170208618601e-02,9.089168578091579853e-01,7.885430000300659437e-01
9.468020584500411729e-01,1.000000000000000000e+00,9.904883295388849929e-01,1.000000000000000000e+00,9.734895826994796053e-01,4.073151249185797962e-01,1.010214669866944970e+00,1.000000000000000000e+00,6.558883399179005202e-01,9.676914001343595029e-01,9.645417655138339708e-01,9.721786634977090946e-01,9.861241201732811046e-01,8.953410174645511921e-01,1.110223024625156540e-16,8.861352245862957888e-01,5.444058383973935378e-01,9.712884577328515512e-01
6.065875744409376935e-01,9.216216110445691889e-01,7.056512809130609520e-01,9.608816672041338158e-01,8.167330835544037715e-01,9.301141006672783984e-01,6.424574452453334361e-01,9.497554879441176823e-01,8.884018033206076970e-01,9.774966207888664549e-01,9.246689013896781661e-01,8.352941028367512066e-01,7.152829593721928836e-01,-3.449807170208618601e-02,8.861352245862957888e-01,0.000000000000000000e+00,7.124624208363006250e-01,8.378661172685877290e-01
8.916656983101647338e-01,9.896409821747857993e-01,9.360026950801085821e-01,9.814507497939719549e-01,8.693281835757633580e-01,4.628786370826437624e-01,9.509309307752071838e-01,9.486173570788116738e-01,7.491693653707620637e-01,9.695138420927862377e-01,9.887608491900824470e-01,9.971089873042523477e-01,9.770930385995986178e-01,9.089168578091579853e-01,5.444058383973935378e-01,7.124624208363006250e-01,3.330669073875469621e-16,9.855631436318997851e-01
9.023323747656427640e-01,9.771660562484709711e-01,7.286506724188213102e-01,9.392900853198525857e-01,8.743789380897649677e-01,9.661901352085212613e-01,9.675492757829731172e-01,9.834996489903971018e-01,7.609480629224767423e-01,9.588167638278837224e-01,9.775790818867386989e-01,1.363651910997241146e-01,1.609632890039086606e-01,7.885430000300659437e-01,9.712884577328515512e-01,8.378661172685877290e-01,9.855631436318997851e-01,2.220446049250313081e-16
